file,path,size_mb,role
分行业&分用电类别(1).csv,D:\ai\数学ai\Projects\InnovationProjects\福建用电量预测与产业因果推断研究\Sources\原始数据\分行业&分用电类别(1).csv,146.52,地市/行业/用电类别日度宽表
福建全省用电量统计20230101至20260109.xlsx,D:\ai\数学ai\Projects\InnovationProjects\福建用电量预测与产业因果推断研究\Sources\原始数据\福建全省用电量统计20230101至20260109.xlsx,13.69,全省和地市日度用电统计工作簿
