行号,count
,1958
1001,320
1012,160
1013,160
1014,160
1021,160
1022,160
1026,160
2001,160
3001,160
3002,160
3101,160
3102,160
3111,160
3119,160
3127,160
3136,160
3140,160
3146,160
3154,160
3160,160
3164,160
3168,160
3175,160
3208,160
3227,160
3274,160
3293,160
3309,160
3340,160
3374,160
3378,160
3381,160
3502,160
4001,160
5001,160
6001,160
6025,160
7001,160
8001,160
8032,160
8038,160
9001,160
3182,158
3195,158
3351,158
3266,156
3329,144
3259,140
3123,138
3319,138
3204,128
3366,104
