目标变量,行业,制造业分组,最佳滞后月数,相关系数,相关系数绝对值,有效样本数
结构转型差值T同比变化,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,1,-0.5215739478058955,0.5215739478058955,35
结构转型差值T同比变化,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,1,-0.4733781328571623,0.4733781328571623,35
结构转型差值T同比变化,4.烟草制品业,消费与轻工制造,1,-0.4570644665502907,0.4570644665502907,35
结构转型差值T同比变化,15.医药制造业,先进制造与技术相关行业,1,-0.39734648539189,0.39734648539189,35
结构转型差值T同比变化,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,3,-0.29585418623257526,0.29585418623257526,33
结构转型差值T同比变化,14.化学原料和化学制品制造业,传统高耗能与材料行业,4,0.26579603864319845,0.26579603864319845,32
结构转型比值R同比变化,10.造纸和纸制品业,消费与轻工制造,1,-0.6225437272031149,0.6225437272031149,35
结构转型比值R同比变化,28.仪器仪表制造业,先进制造与技术相关行业,1,-0.6103328509289109,0.6103328509289109,35
结构转型比值R同比变化,3.酒、饮料及精制茶制造业,消费与轻工制造,1,-0.6071381528544352,0.6071381528544352,35
结构转型比值R同比变化,21.金属制品业,装备制造,1,-0.602326710484114,0.602326710484114,35
结构转型比值R同比变化,16.化学纤维制造业,传统高耗能与材料行业,1,-0.5920872237065917,0.5920872237065917,35
结构转型比值R同比变化,24.汽车制造业,装备制造,1,-0.5912032894146894,0.5912032894146894,35
结构转型比值R同比变化,23.专用设备制造业,装备制造,1,-0.580789648546692,0.580789648546692,35
结构转型比值R同比变化,17.橡胶和塑料制品业,传统高耗能与材料行业,1,-0.5802671518331087,0.5802671518331087,35
结构转型比值R同比变化,9.家具制造业,消费与轻工制造,1,-0.5765926054095313,0.5765926054095313,35
结构转型比值R同比变化,30.废弃资源综合利用业,其他制造,1,-0.5748063945421347,0.5748063945421347,35
结构转型比值R同比变化,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,-0.5739678052071734,0.5739678052071734,35
结构转型比值R同比变化,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,1,-0.5731528443459566,0.5731528443459566,35
结构转型比值R同比变化,11.印刷和记录媒介复制业,消费与轻工制造,1,-0.5716064239994373,0.5716064239994373,35
结构转型比值R同比变化,5.纺织业,消费与轻工制造,1,-0.5701137094297162,0.5701137094297162,35
结构转型比值R同比变化,22.通用设备制造业,装备制造,1,-0.5673028208921576,0.5673028208921576,35
结构转型比值R同比变化,6.纺织服装、服饰业,消费与轻工制造,1,-0.5658177277024367,0.5658177277024367,35
