date,制造业用电量,制造业同比增长率,制造业同比变化量,制造业同比变化量绝对值,低变化阈值,HHI集中度,有效行业数,结构熵,结构熵标准化,前5行业占比,最大行业占比,行业占比L1距离_同比,行业占比L2距离_同比,行业占比最大变化_同比,传统高耗能与材料行业占比,传统高耗能与材料行业同比增长率,传统高耗能与材料行业同比变化量,消费与轻工制造占比,消费与轻工制造同比增长率,消费与轻工制造同比变化量,装备制造占比,装备制造同比增长率,装备制造同比变化量,先进制造与技术相关行业占比,先进制造与技术相关行业同比增长率,先进制造与技术相关行业同比变化量,其他制造占比,其他制造同比增长率,其他制造同比变化量,装备与先进制造合计占比,结构转型差值T,结构转型比值R,结构转型差值T同比变化,结构转型比值R同比变化,传统高耗能与材料行业正向贡献占比,消费与轻工制造正向贡献占比,装备制造正向贡献占比,先进制造与技术相关行业正向贡献占比,其他制造正向贡献占比,装备与先进制造正向贡献占比,结构状态
2022-01-01,9794599865.9,,,,609802678.7000008,0.07202784160031718,13.883520285794548,2.9247175131936154,0.851697265899427,0.5027136248865597,0.1546933717409982,0.0,0.0,,0.5162559476100016,,,0.2506766230627626,,,0.12014653863098552,,,0.08394071498500703,,,0.028980175710855118,,,0.20408725361599256,-0.31216869399400904,0.39532184483454597,,,,,,,,0.0,同比信息不足
2022-02-01,8122266310.6,,,,609802678.7000008,0.07682399934671878,13.016765704774661,2.8799573543529244,0.8386628088163518,0.5103689206324211,0.17723382570346422,0.0,0.0,,0.5394112865824456,,,0.23418750556455065,,,0.11589348162113683,,,0.0863032201965215,,,0.02420450604361891,,,0.2021967018176583,-0.33721458476478733,0.37484699865795973,,,,,,,,0.0,同比信息不足
2022-03-01,12469466151.9,,,,609802678.7000008,0.0717789720068736,13.931656751844251,2.9278698318037892,0.852615242124282,0.4991665970336336,0.15688423274014182,0.0,0.0,,0.5166856455477284,,,0.25165699721559065,,,0.12819621174098358,,,0.07477509022275403,,,0.0286860552960799,,,0.2029713019637376,-0.31371434358399086,0.3928332511513295,,,,,,,,0.0,同比信息不足
2022-04-01,12032787613.7,,,,609802678.7000008,0.07206757105773338,13.875866569707188,2.9270726684549837,0.8523831028350719,0.5014357145230696,0.15554247465974286,0.0,0.0,,0.5172816729993007,,,0.2520421204889233,,,0.12243984830829842,,,0.07929376689276685,,,0.02894259130606498,,,0.20173361520106525,-0.31554805779823547,0.38998794221990146,,,,,,,,0.0,同比信息不足
2022-05-01,12534874920.9,,,,609802678.7000008,0.06977005038806107,14.332797445866806,2.946046358703885,0.8579083681080817,0.494598213903427,0.14605586405153773,0.0,0.0,,0.5124339012055981,,,0.25657797779074926,,,0.12339532527515994,,,0.07850697280263277,,,0.02908582291552079,,,0.2019022980777927,-0.31053160312780537,0.39400651987071733,,,,,,,,0.0,同比信息不足
2022-06-01,11864730091.6,,,,609802678.7000008,0.06598568963993248,15.154801070607151,2.9805849529938873,0.8679662373525829,0.4734870176109013,0.13789925454421872,0.0,0.0,,0.4900479661041259,,,0.2659221224442725,,,0.13040885970304833,,,0.08285789553804568,,,0.030763156220840665,,,0.213266755241094,-0.27678121086303187,0.4351956746939724,,,,,,,,0.0,同比信息不足
2022-07-01,12787420466.6,,,,609802678.7000008,0.06441850332297905,15.523490121871319,2.993334619897619,0.8716790254745304,0.4659884581541691,0.1304579619319859,0.0,0.0,,0.47816721050119415,,,0.2705448218900909,,,0.13432200715878195,,,0.08411344832973852,,,0.03285251212426102,,,0.21843545548852047,-0.25973175501267365,0.4568181395365146,,,,,,,,0.0,同比信息不足
2022-08-01,13059519219.0,,,,609802678.7000008,0.06444083425792883,15.518110705976149,2.992418973339134,0.8714123830836417,0.4633674242920075,0.13231032008330781,0.0,0.0,,0.4760733728968066,,,0.2732776455359647,,,0.13497383666586263,,,0.08296522879828996,,,0.03270991610307611,,,0.2179390654641526,-0.25813430743265403,0.45778461445562285,,,,,,,,0.0,同比信息不足
2022-09-01,12319652118.0,,,,609802678.7000008,0.06519745441512396,15.338022150877539,2.9820541702744716,0.8683940832335069,0.46857136481684536,0.1306838754519448,0.0,0.0,,0.4806091861432544,,,0.2720842787518718,,,0.1343531997613506,,,0.08108640620951015,,,0.03186692913401307,,,0.21543960597086076,-0.2651695801723936,0.44826360415559147,,,,,,,,0.0,同比信息不足
2022-10-01,12157804986.0,,,,609802678.7000008,0.06778435281682332,14.752667222512908,2.960034812747454,0.861981899315565,0.4820670314048414,0.13987042233019742,0.0,0.0,,0.497843670380452,,,0.26172662406282815,,,0.13183098452768685,,,0.07747230927660152,,,0.031126411752431443,,,0.20930329380428836,-0.28854037657616366,0.42041971457493643,,,,,,,,0.0,同比信息不足
2022-11-01,11781961598.4,,,,609802678.7000008,0.0678897337405324,14.729767593755744,2.956597054127233,0.8609808010541239,0.47999803012411757,0.14072106711798768,0.0,0.0,,0.5044153571178728,,,0.2504391556936413,,,0.13632760325573665,,,0.07796282757856218,,,0.03085505637416677,,,0.21429043083429883,-0.29012492628357395,0.4248293153854612,,,,,,,,0.0,同比信息不足
2022-12-01,11331003326.4,,,,609802678.7000008,0.06699089700371734,14.927401254897509,2.9628039129617805,0.8627882797850991,0.4791947541511402,0.132279646770363,0.0,0.0,,0.5037996103793995,,,0.2502033975039731,,,0.13485356355927158,,,0.07901302898218696,,,0.03213039957786063,,,0.21386659254145854,-0.2899330178379409,0.4245072606951814,,,,,,,,0.0,同比信息不足
2023-01-01,6977407051.2,-0.28762714692491786,-2817192814.7,2817192814.7,609802678.7000008,0.07763600963285437,12.880620793483121,2.8547524797549295,0.8313229810601287,0.5415767704550228,0.1581690269611255,0.2422586277503274,0.07411787209429996,0.040573342397903986,0.571934368819242,-0.21079743492805736,-1065901537.407999,0.1992064809117238,-0.4338950021574156,-1065332514.0765996,0.10418760232904499,-0.3822508715448538,-449827960.0250999,0.09940872876272992,-0.15635600981095266,-128550550.71580005,0.0252628191454997,-0.3790049193987993,-107580252.69229999,0.2035963310917749,-0.3683380377274671,0.3559784866786365,-0.056169343733458055,-0.03934335815590945,,,,,,0.0,制造业回落型
