date,传统高耗能与材料行业正向贡献占比,消费与轻工制造正向贡献占比,装备制造正向贡献占比,先进制造与技术相关行业正向贡献占比,其他制造正向贡献占比
2022-01-01,,,,,
2022-02-01,,,,,
2022-03-01,,,,,
2022-04-01,,,,,
2022-05-01,,,,,
2022-06-01,,,,,
2022-07-01,,,,,
2022-08-01,,,,,
2022-09-01,,,,,
2022-10-01,,,,,
2022-11-01,,,,,
2022-12-01,,,,,
2023-01-01,,,,,
2023-02-01,0.3369253333471584,0.35989536658062304,0.20766798919329688,0.046662101279849384,0.04884920959907221
2023-03-01,0.02603717010113949,0.531411620657734,0.3422471939749063,0.0,0.1003040152662202
2023-04-01,0.06802777780032458,0.5221577121239026,0.391769439855273,0.0,0.018045070220499712
2023-05-01,0.17601365068654887,0.4028356299600549,0.32258066296795,0.07270395103075918,0.025866105354687044
2023-06-01,0.4625606187778187,0.25932850783894995,0.18338748797693058,0.07020534858265098,0.024518036823649697
2023-07-01,0.4892494329667928,0.2196497071351423,0.2186645813555099,0.06977201724058366,0.0026642613019713063
2023-08-01,0.5344484171231155,0.19488876057709778,0.18723446884529973,0.0759638164215961,0.007464537032890892
2023-09-01,0.5587017611851264,0.20357234517868739,0.142360119460798,0.08583529028109677,0.009530483894291461
2023-10-01,0.5619285458343585,0.22156305496559647,0.14022663339808736,0.06989547726875638,0.00638628853320124
2023-11-01,0.5802502671808393,0.23675198890578872,0.12759403157329846,0.05338407151517517,0.002019640824898368
2023-12-01,0.579164465773923,0.23952473744361538,0.1240008194709141,0.05447616003702648,0.002833817274521073
2024-01-01,0.43740712358624745,0.31171986321298106,0.16539482257369037,0.05507791948909415,0.0304002711379869
2024-02-01,,,,,
2024-03-01,0.37490652549280296,0.24434991138297718,0.22837380139812305,0.15236976172609684,0.0
2024-04-01,0.4162524412983512,0.23472884208784708,0.21052648367970472,0.11333144648569363,0.025160786448403312
2024-05-01,0.5488023034095124,0.1602943906501287,0.1857309453593558,0.08972109369502052,0.015451266885982553
2024-06-01,0.5597800863109655,0.15743593060708652,0.16801419876654397,0.10391504813268787,0.010854736182716257
2024-07-01,0.3373851773114309,0.2941043397598486,0.20264157336596783,0.13311172772027474,0.03275718184247795
2024-08-01,0.3249910757735429,0.281050781691709,0.22061815807675816,0.14732269119812133,0.02601729325986858
2024-09-01,0.07938311079800987,0.32775109909527694,0.3585976342813106,0.1962046309383438,0.03806352488705878
2024-10-01,0.09572513128747533,0.27852799869336486,0.3610336857783755,0.23635853387514463,0.02835465036563956
2024-11-01,0.08806571615681602,0.20515330457755745,0.3788477255117959,0.2624228233080438,0.06551043044578686
2024-12-01,0.3415807578238011,0.18690630376012354,0.27608665351927403,0.1386607174682151,0.056765567428586315
2025-01-01,,,,,
2025-02-01,0.3616487792838483,0.3093560793566794,0.2240057581774739,0.06492616547748387,0.04006321770451475
2025-03-01,0.6464668399094008,0.05413261977956434,0.17579882795578103,0.09238463169473803,0.031217080660515654
2025-04-01,0.7073208639630116,0.0,0.18297002485805364,0.08514270508932717,0.024566406089607563
2025-05-01,0.4664222359809798,0.0,0.24616318282396618,0.16139623112562584,0.12601835006942813
2025-06-01,0.018358313761809884,0.17529096680300912,0.4360240147126654,0.20048287509589574,0.16984382962661987
2025-07-01,0.3936331957784167,0.0,0.3276237834436894,0.13088069375555597,0.14786232702233784
2025-08-01,0.5777484030740471,0.0,0.23393544567880775,0.09547879855592165,0.09283735269122351
2025-09-01,0.5984771861864965,0.08984532355955609,0.19378661498206112,0.09144958707304995,0.026441288198836347
2025-10-01,0.5751170887123198,0.09231032992428428,0.18817653164471235,0.11375489175724664,0.03064115796143696
2025-11-01,0.6666278342551722,0.00642653901211209,0.2122041885555784,0.10572586088601792,0.009015577291119434
2025-12-01,0.36082306707246,0.0,0.40222189359747834,0.20860123817880843,0.02835380115125322
