行业,制造业分组,平均占比,2025平均占比,最大月度占比,同比增长率均值,同比增长率标准差,与制造业同比相关,增长贡献率,2022占制造业比重,2025占制造业比重,前置信号摘要,数据行为标签
1.农副食品加工业,消费与轻工制造,0.025930716697487602,0.024238829331535695,0.03241709000926123,0.03457849558079984,0.11817091534951658,0.8567693470342376,0.010187223151659,0.0277121664403893,0.0243493048987055,"制造业同比增长率:证据较弱,lag=1,q=0.3274,gain=-14.38%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0021,gain=34.76%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0076,gain=34.39%",一般结构项
29.其他制造业,其他制造,0.02204998375273325,0.023297303619039634,0.029275776226590694,0.11051051784331284,0.22854702648258682,0.8629403190518609,0.0284746979342887,0.022344721172972,0.023521002474567,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1978,gain=-10.45%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0103,gain=37.63%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0313,gain=24.12%",一般结构项
10.造纸和纸制品业,消费与轻工制造,0.02141741480890097,0.01987416045572649,0.025633513520307044,0.08323133676628638,0.2904018040408966,0.9336603511684181,0.014495380122335,0.0211286076972728,0.0198557575920551,"结构转型差值T同比变化:有预测增益候选,lag=2,q=0.0030,gain=25.20%；制造业同比增长率:证据较弱,lag=1,q=0.6494,gain=-32.38%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0018,gain=33.86%",一般结构项
2.食品制造业,消费与轻工制造,0.01825811499803867,0.018301431971732465,0.021158328906778722,0.09487042803511289,0.1902152318662483,0.9249401250752423,0.0196435842902441,0.0181091567755781,0.0184035980866031,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1920,gain=-12.37%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0066,gain=31.88%；结构转型差值T同比变化:较稳健前置信号候选,lag=2,q=0.0080,gain=27.70%",一般结构项
22.通用设备制造业,装备制造,0.017127111198216107,0.017682342624316484,0.019307786261280827,0.14789865624105575,0.4515600647963584,0.9643131059625004,0.0205667727854684,0.0171989228157558,0.0178451795798842,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1901,gain=6.34%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0069,gain=33.76%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0159,gain=21.50%",高波动
8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,0.014127447339567079,0.013442741734423247,0.016643564953542023,0.09565116804124076,0.4164697629089445,0.9711382167714594,0.0081277478884086,0.0148044514520954,0.0135232587389649,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1978,gain=3.46%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0095,gain=28.65%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0244,gain=23.77%",高波动
23.专用设备制造业,装备制造,0.00984780374297249,0.009639464870191924,0.010984095255674328,0.06382368766496607,0.1625121264601057,0.9755418893153631,0.0072649937879971,0.0102084206582776,0.0096436064469135,"制造业同比增长率:证据较弱,lag=1,q=0.2329,gain=2.68%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0003,gain=33.85%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0020,gain=28.96%",一般结构项
24.汽车制造业,装备制造,0.007401819285728071,0.008322765562609318,0.009190608693236997,0.18634161438003877,0.24767624541378155,0.934755718565631,0.0158729222705905,0.0065889724277168,0.0083704696552484,"制造业同比增长率:证据较弱,lag=1,q=0.7356,gain=-14.28%；结构转型差值T同比变化:较稳健前置信号候选,lag=2,q=0.0030,gain=36.90%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0035,gain=36.48%",一般结构项
15.医药制造业,先进制造与技术相关行业,0.007432943999783892,0.007985847268850274,0.008782394921160619,0.10793447116906034,0.13795440328504513,0.7524253588769843,0.0103859537544722,0.0074392623444242,0.0080047029883567,"制造业同比增长率:有预测增益候选,lag=1,q=0.1978,gain=18.98%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0181,gain=21.03%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0648,gain=12.09%",一般结构项
12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,0.007685042529980322,0.007451413487467949,0.00910304259768744,0.0787621257434397,0.3098457916483962,0.9749422591351264,0.0048254967298405,0.0081365631511294,0.0075012025826719,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1548,gain=-33.66%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0003,gain=36.08%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0020,gain=28.07%",一般结构项
3.酒、饮料及精制茶制造业,消费与轻工制造,0.006816352572019222,0.006305425407063299,0.010131595297684565,0.03688428941638717,0.11433756500567498,0.8493520695792178,0.0028127588900725,0.0071866771336896,0.0063473659184923,"制造业同比增长率:有预测增益候选,lag=2,q=0.2479,gain=28.21%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0005,gain=20.93%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0029,gain=17.38%",一般结构项
25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,0.005845861992318772,0.006094503080971546,0.006684849407962888,0.12274123512682447,0.2797755979331182,0.8664573454910418,0.0074021386664515,0.0058396628723538,0.0061394863679974,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1609,gain=-1.65%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0088,gain=29.72%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0298,gain=22.13%",一般结构项
9.家具制造业,消费与轻工制造,0.006201475502354874,0.006061634029949035,0.006969329791097554,0.1038287222627664,0.34946869997826546,0.9775403504787892,0.0053059253724689,0.0062768887390538,0.0060905705689989,"制造业同比增长率:证据较弱,lag=1,q=0.2479,gain=-39.37%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0004,gain=33.78%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0029,gain=23.78%",高波动
30.废弃资源综合利用业,其他制造,0.005196430324877079,0.004682132291416,0.006755450824352378,0.06425778846033967,0.3964072780708938,0.9140975055814154,0.0003808749425656,0.005757750020823,0.0047259814086679,"制造业同比增长率:仅相关或检验候选,lag=2,q=0.1043,gain=-13.30%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0003,gain=36.17%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0020,gain=31.67%",高波动
11.印刷和记录媒介复制业,消费与轻工制造,0.0038595187814554565,0.0038119107223079877,0.004369257936921912,0.1015966085018908,0.3223239655045688,0.9663951549515019,0.0034331064269678,0.0039301428197014,0.0038347665013646,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1476,gain=1.48%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0023,gain=35.68%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0071,gain=24.36%",高波动
28.仪器仪表制造业,先进制造与技术相关行业,0.00245247787865778,0.002719445884385973,0.003110552880159146,0.15316348055400353,0.1874011266567279,0.9271661990423097,0.0046907433731575,0.0022818201299105,0.0027440684349759,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1920,gain=-14.32%；结构转型差值T同比变化:较稳健前置信号候选,lag=2,q=0.0020,gain=41.21%；结构转型比值R同比变化:较稳健前置信号候选,lag=2,q=0.0003,gain=39.65%",一般结构项
31.金属制品、机械和设备修理业,其他制造,0.00199073118798645,0.0018318971751147741,0.0026553044885105122,0.030747749961086916,0.2702075710384431,0.9109424443198315,2.513137642356039e-06,0.0022839744881432,0.0018461848469424,"制造业同比增长率:仅相关或检验候选,lag=2,q=0.1978,gain=0.47%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0210,gain=34.76%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0095,gain=33.45%",一般结构项
4.烟草制品业,消费与轻工制造,0.0017635079941079135,0.0016822080185508919,0.004340432164947404,0.04042145810575718,0.2096927932214959,0.7142662075360523,0.0005839128803818,0.0019621264923322,0.0016976610686505,"结构转型差值T同比变化:仅相关或检验候选,lag=1,q=0.0585,gain=4.77%；制造业同比增长率:证据较弱,lag=2,q=0.7492,gain=-25.93%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0038,gain=15.83%",一般结构项
