date,1.农副食品加工业,2.食品制造业,3.酒、饮料及精制茶制造业,4.烟草制品业,5.纺织业,6.纺织服装、服饰业,7.皮革、毛皮、羽毛及其制品和制鞋业,8.木材加工和木、竹、藤、棕、草制品业,9.家具制造业,10.造纸和纸制品业,11.印刷和记录媒介复制业,12.文教、工美、体育和娱乐用品制造业,13.石油、煤炭及其他燃料加工业,14.化学原料和化学制品制造业,15.医药制造业,16.化学纤维制造业,17.橡胶和塑料制品业,18.非金属矿物制品业,19.黑色金属冶炼和压延加工业,20.有色金属冶炼和压延加工业,21.金属制品业,22.通用设备制造业,23.专用设备制造业,24.汽车制造业,25.铁路、船舶、航空航天和其他运输设备制造业,26.电气机械和器材制造业,27.计算机、通信和其他电子设备制造业,28.仪器仪表制造业,29.其他制造业,30.废弃资源综合利用业,31.金属制品、机械和设备修理业
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,-0.18137083476945004,-0.2488206681160975,-0.21443982047129662,-0.28012882069698863,-0.483436904743308,-0.5310285832930453,-0.5659499643985644,-0.5464777087618036,-0.47901588987394694,-0.3840979948295523,-0.43195210243767923,-0.4844931546096498,0.31225414756541237,0.10437124871601866,-0.193833826212916,-0.29070899792200366,-0.43074552371716346,-0.49433402405305826,-0.27162153273730505,-0.016704513796885645,-0.5001784770583644,-0.5437245963497879,-0.32664717292096457,-0.2956241345927253,-0.3121546754888711,-0.24611886970633678,-0.14982902969205902,-0.25399461863038064,-0.29971084383253555,-0.6082626186906792,-0.46907955963368475
2023-02-01,0.3258429453242597,0.49332880485507236,0.18579826789699005,0.3504115194205708,0.20683821363187893,0.34839042147728727,0.5701119551594063,0.515780761236108,0.4063629730358742,0.4785673159530395,0.4799000055090561,0.32144686477803663,-0.051299011631490865,0.15844706010161458,0.17223196699338517,-0.010960963152766179,0.4390078876590937,0.4677979316224419,-0.04156047794999074,0.22759943484876755,0.48806763966704625,0.6150140379761213,0.1345099944594379,0.4227888820551571,0.5336074967840374,0.307421450420972,0.10775825310357345,0.4149834012438709,0.39375176476607576,0.7894439917262104,0.3645391886552225
2023-03-01,0.03644952378634314,0.1327342634706945,-0.057158639432214886,-0.09126973174281272,0.0246964958920024,0.08329330404858393,0.1252894502320714,0.04283415199704854,0.018688544617750047,0.08695264193474372,0.08560591769460046,-0.0032657029076095245,0.01120977753332375,0.11335716827088138,0.013696759539828296,-0.0057602729282097975,0.0625367426734098,0.09635536952563895,-0.1213734016580943,-0.022323883552891166,0.049819765885980694,0.07836372436387173,-0.04366534493733376,0.16276004086848506,0.19241682024402884,0.08849642528871327,-0.0072548665192232464,0.12269066032600873,0.06905292918921102,0.2277182834660203,-0.03165191225643915
2023-04-01,-0.011214093380466417,0.150444281595844,0.009028195699536612,-0.09999236936366618,0.04387695155301152,0.0922965084530396,0.17755231695322404,-0.03500329659888257,0.008795155687749023,0.08506703085549483,0.11331539342131158,-0.010803350672720424,0.11048199553458815,0.08926240754586634,-0.021700756546986666,0.037846663294130556,0.058662776834856656,0.01683859416561262,-0.09689189443910473,0.02409664963529301,0.053361039965360346,0.02941104108135617,-0.03270605169390406,0.42556367675990336,0.1655831975971651,0.15002403132474318,-0.020466443013931523,0.054203064868501905,0.03578849301598197,-0.06957017181342551,0.11341322998159131
2023-05-01,0.13047019350100264,0.15230240623051228,0.15340987611976487,-0.09071336478658065,0.04973360416475625,0.01693277514833058,0.01168864078153442,0.0451075388942197,0.0438296246927492,0.14637147391036165,0.06390756885211335,0.013425846662731722,0.03152342673924258,0.05203132286419754,-0.006652587313870972,0.0197865512862887,0.05671368223712503,-0.002385639612695223,-0.06356330711739822,0.11594428561382664,0.057127349264937344,0.06359109053030565,0.04184076546113813,0.28402985250464163,0.0876226896898864,0.16806720713573142,0.03761004773020238,0.15925286070591693,0.052287294079472746,-0.014341120403872143,0.008913967281330759
2023-06-01,0.12655439794388368,0.1712197197476577,0.13283802944806933,0.030688825989445556,0.10529736593415251,0.0467815816516024,0.022284203163982053,0.23762805526701936,0.09602316547240175,0.26112931916333393,0.0717126517753599,0.06640017508060736,0.0665309613891294,0.20359164742558922,0.009908404849490848,0.1633999346656514,0.08827344423589545,0.10157122773297678,-0.013615230306126436,0.2551394639823814,0.12782722644355315,0.13798723676228764,0.02869025538134995,0.21699458509434644,0.12848849462779466,0.22256545975668285,0.1022546707737122,0.15015823422479913,0.10207246617044552,0.055924620327307384,0.04522151382740458
2023-07-01,0.041273651233625364,0.045480095545676,0.001811794473616235,0.00479840077663285,0.09576946225834115,0.01761214466962313,-0.022998214301324094,0.027463362561900073,0.05960579182186887,0.2429428611394049,0.01998902731245722,-0.0049291870345327116,0.08264350996461278,0.18841383115447297,-0.07463680882462609,0.23786621372587047,0.036408734034739654,-0.04306843456069953,-0.014610518138992834,0.27152116242993474,0.07668586512397968,0.04268767955518671,0.03190749927515335,0.1292607135782884,-0.0028766545761444995,0.21579003719765288,0.07310057715510587,0.09267980264600073,0.009021934117318775,0.017631963182968224,-0.051939911305417086
2023-08-01,-0.002180032077827687,0.07517847822384294,0.08468519351853376,0.12522580056499422,0.07920814769977347,0.04285311246000845,0.01281454447233732,0.002340465531120106,0.062177443141977706,0.28237116103887616,0.0439618648012472,0.02865711081477662,0.04591288935190696,0.20056027480823424,-0.05753524480749861,0.29040211420147855,0.07877023305335151,-0.05032132139699719,0.06166180115435327,0.2961270390917363,0.0977613002456561,0.04217035998683949,0.05401401370738501,0.17367728390359405,0.011523311214162169,0.204701727733263,0.09654342223033163,0.11041650918496915,0.008866741148391588,0.14447113195574146,-0.10978789985869597
2023-09-01,0.015965565410465565,0.09669436969487877,0.11082777131108568,0.16523484558256807,0.07950036942357386,0.08737653837704351,0.06449702837436644,-0.031681669042948224,0.09806005200071488,0.19998165063989526,0.07583486345705359,0.042419975805471966,0.06753590803449638,0.4275272407013557,0.02309801671902134,0.333566516009292,0.056215114932520294,-0.07040134763600359,0.009074452348296846,0.3266656857964527,0.09545752260425533,0.05049526955726602,0.07497079506362114,0.16206026946006657,0.01415529556969819,0.15079286839654293,0.11578684190665922,0.14128805334549255,0.0234260479468682,0.11067886138102057,-0.07539643689383413
2023-10-01,0.03229582196608072,0.06255367336562778,0.1997478038446332,0.14846129840078914,0.08866708296003134,0.12316446797290603,0.1225836043478079,0.05780355962147321,0.16985214742307875,0.20204264385598236,0.10082188225562727,0.10611159300166495,0.031191163273227573,0.4017883284211916,0.031218673133719177,0.20308816235544724,0.07735007643639547,-0.012814329815352798,0.06968334667674347,0.3256279440165377,0.14055060155307442,0.08395581276987674,0.09907357286417229,0.19136279126079292,-0.005144602762929162,0.14718276055130297,0.11526601765123612,0.18059487397133966,0.03956716129525795,0.009538973832613262,-0.0798381909008915
2023-11-01,0.01339307207875362,0.0410788182163242,0.12917508427495417,-0.04128848538282048,0.18354863806339083,0.1431111839848418,0.16236202485229878,0.17919934120901693,0.17364614672384548,0.21520185148871973,0.09822460082011819,0.08923178439819379,0.07078534127763492,0.4296462256008975,0.014686855288683631,0.18596794946774997,0.09261657372291454,0.05663132391535419,0.1234519264248426,0.28909588469388403,0.1296654554227552,0.13426364067299645,0.1006423356435231,0.2006256803455604,0.01607731095171827,0.1663186828763743,0.11143052320373426,0.12685345343036492,0.04399221656198815,-0.11200710235130507,0.009614591665030092
2023-12-01,0.036200269457837164,0.12184316089493175,0.06955050306965949,-0.1020037531262512,0.24867101237422928,0.22546409723309102,0.21293442951222663,0.24775250381687353,0.1973005982103615,0.2981290858286725,0.11407016891184751,0.1161197948078545,0.1164293133716312,0.38775930472703246,0.08006636504740028,0.33478254863948886,0.12365181531643099,0.09419007407982116,0.26422387467897246,0.3750013938674741,0.14111570964229236,0.2069491140110391,0.11623259174022871,0.2879214251719413,0.013341587047498216,0.26730059018759644,0.1495700493156671,0.17304890160646513,0.054783278766144416,-0.11814341033940634,0.021342674845687304
2024-01-01,0.4438962625410894,0.8709360287555277,0.47410181977154475,0.5009005442501762,1.439247345839794,2.005836965837953,2.503628434764439,2.1585943611954654,1.7358641355761901,1.3313384447892247,1.5488703672951414,1.496177052956749,0.10271250931974807,0.47436249549569154,0.5488803336878307,0.6349331657562161,1.3489341061175955,1.2753106533886354,0.5882504698644888,0.6143001937484684,1.9333792589222263,2.2899558145516767,0.758994852186859,1.2142379955150981,1.1493696901411083,1.0250295041260329,0.4658431811873689,0.8944126271749611,0.9175273775358417,1.7698664365080976,1.1466954963379745
