date,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造
2022-01-01,0.5162559476100016,0.2506766230627626,0.12014653863098552,0.08394071498500703,0.028980175710855118
2022-02-01,0.5394112865824456,0.23418750556455065,0.11589348162113683,0.0863032201965215,0.02420450604361891
2022-03-01,0.5166856455477284,0.25165699721559065,0.12819621174098358,0.07477509022275403,0.0286860552960799
2022-04-01,0.5172816729993007,0.2520421204889233,0.12243984830829842,0.07929376689276685,0.02894259130606498
2022-05-01,0.5124339012055981,0.25657797779074926,0.12339532527515994,0.07850697280263277,0.02908582291552079
2022-06-01,0.4900479661041259,0.2659221224442725,0.13040885970304833,0.08285789553804568,0.030763156220840665
2022-07-01,0.47816721050119415,0.2705448218900909,0.13432200715878195,0.08411344832973852,0.03285251212426102
2022-08-01,0.4760733728968066,0.2732776455359647,0.13497383666586263,0.08296522879828996,0.03270991610307611
2022-09-01,0.4806091861432544,0.2720842787518718,0.1343531997613506,0.08108640620951015,0.03186692913401307
2022-10-01,0.497843670380452,0.26172662406282815,0.13183098452768685,0.07747230927660152,0.031126411752431443
2022-11-01,0.5044153571178728,0.2504391556936413,0.13632760325573665,0.07796282757856218,0.03085505637416677
2022-12-01,0.5037996103793995,0.2502033975039731,0.13485356355927158,0.07901302898218696,0.03213039957786063
2023-01-01,0.571934368819242,0.1992064809117238,0.10418760232904499,0.09940872876272992,0.0252628191454997
2023-02-01,0.502519001098494,0.25709107107610335,0.1326144999372953,0.0790807365991488,0.02869469128628026
2023-03-01,0.5041456925052797,0.2588827674169305,0.13371599226633746,0.07272463610675861,0.030530911694003265
2023-04-01,0.505334982451805,0.26003066569629657,0.13022077908837118,0.07573731578886665,0.028676256978097916
2023-05-01,0.4995671931972999,0.26217173888220285,0.13101335533905015,0.07828503079375754,0.028962681798139732
2023-06-01,0.4872827167503931,0.2652587994867495,0.1357385525206184,0.08158503908961506,0.030134892162698247
2023-07-01,0.4789045419912115,0.26715862645386135,0.13993355633853524,0.08315927249691257,0.030844002710858083
2023-08-01,0.48086678540036987,0.2668407732819789,0.13926518325286555,0.08239030790943963,0.0306369043296166
2023-09-01,0.4878258296571055,0.2657529840880953,0.13509312893378925,0.08152525632990396,0.029802784330338564
2023-10-01,0.5047692307533539,0.25738620489347547,0.13273829023421638,0.0766534919352175,0.028452782202458997
2023-11-01,0.5143024250917718,0.24865467479003908,0.13518895329817043,0.07475834257269375,0.027095604248011367
2023-12-01,0.5168076731716102,0.24836024819891744,0.1329803671471291,0.07477793650471025,0.027073774969783217
2024-01-01,0.5093095405809319,0.25158346397000786,0.13268065330850615,0.07877194762553585,0.027654394534452082
2024-02-01,0.5723305136333203,0.2001208300295958,0.10784954594567388,0.10042245833104921,0.019276652067135084
2024-03-01,0.49602853824969273,0.2580280403106827,0.13980556839415254,0.07783698791805722,0.02830086514012485
2024-04-01,0.4956548212018549,0.2572812410693444,0.1389472047101886,0.07982248491861463,0.028294248100055142
2024-05-01,0.5043813377420111,0.25221030530264815,0.13636356957318005,0.07940323403510384,0.027641553357426733
2024-06-01,0.49278783656918096,0.2570712222470106,0.13818941799251236,0.08328067820205574,0.028670844990648314
2024-07-01,0.46697345702094756,0.2694303409681268,0.14522028639786527,0.08737061833583058,0.03100529726449591
2024-08-01,0.4714934742290334,0.26769528047851054,0.14415721786533325,0.08629491455043777,0.030359112862422995
2024-09-01,0.467852275678923,0.2687848043174981,0.14602289141910865,0.08713327916488554,0.030206749431769427
2024-10-01,0.4872252779134602,0.2582929790832625,0.1425299084387932,0.08350326125422655,0.028448573315277923
2024-11-01,0.4991975147949099,0.24711307998791923,0.14382369502717687,0.08140876729636072,0.028456942892899878
2024-12-01,0.5056754552861186,0.24445606088952038,0.1420719519620679,0.07883642852567138,0.02896010335051702
2025-01-01,0.5315143862210411,0.22249907638085611,0.13179729032759877,0.08882393955036798,0.025365307498128202
2025-02-01,0.5191516108137275,0.22769327586188237,0.13716893588253243,0.09146271669067389,0.02452346075399408
2025-03-01,0.508811480937926,0.24070277507936516,0.14286396355691286,0.07907312056861991,0.028548659853366253
2025-04-01,0.5091503602193341,0.24034928953182064,0.1418890560693055,0.08041532950649469,0.028195964664241974
2025-05-01,0.504096584964384,0.23930917184124975,0.14147195524594716,0.0831576945674343,0.03196459339150567
2025-06-01,0.4736112185080363,0.25376563385700307,0.15022800335672448,0.0880180346671405,0.034377109626206076
2025-07-01,0.46742503798948726,0.25346404131126377,0.15351201893233707,0.08972845369682948,0.03587044805303521
2025-08-01,0.47905224636348603,0.2500997162404804,0.14973595280408014,0.08709297191269647,0.03401911268603203
2025-09-01,0.4804600051002843,0.25151382170772113,0.15063297766178696,0.08754988302604098,0.029843312501836975
2025-10-01,0.49391692517215935,0.24565588207434583,0.1460052163005788,0.08580647060325715,0.028615505853155403
2025-11-01,0.5078327287097502,0.2346996785463599,0.14735041701634993,0.08266292069939858,0.027454255020018484
2025-12-01,0.5015432796387175,0.236555899042093,0.15009805381083058,0.08284450037444432,0.028958267125324504
