行业A,行业B,分组A,分组B,同期同比相关系数,相关绝对值,是否跨分组
5.纺织业,21.金属制品业,消费与轻工制造,装备制造,0.9753465290909902,0.9753465290909902,True
5.纺织业,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,消费与轻工制造,0.9748233781101183,0.9748233781101183,False
12.文教、工美、体育和娱乐用品制造业,23.专用设备制造业,消费与轻工制造,装备制造,0.9744306712778436,0.9744306712778436,True
8.木材加工和木、竹、藤、棕、草制品业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9740660832716043,0.9740660832716043,False
8.木材加工和木、竹、藤、棕、草制品业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9734346084091552,0.9734346084091552,True
12.文教、工美、体育和娱乐用品制造业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9722646955848929,0.9722646955848929,True
9.家具制造业,23.专用设备制造业,消费与轻工制造,装备制造,0.9710316455202133,0.9710316455202133,True
5.纺织业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.9707118917507453,0.9707118917507453,False
12.文教、工美、体育和娱乐用品制造业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9689937507434441,0.9689937507434441,True
9.家具制造业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9674401300319281,0.9674401300319281,True
7.皮革、毛皮、羽毛及其制品和制鞋业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.965941763512456,0.965941763512456,True
17.橡胶和塑料制品业,30.废弃资源综合利用业,传统高耗能与材料行业,其他制造,0.9638384822743039,0.9638384822743039,True
5.纺织业,22.通用设备制造业,消费与轻工制造,装备制造,0.9638210605203719,0.9638210605203719,True
18.非金属矿物制品业,31.金属制品、机械和设备修理业,传统高耗能与材料行业,其他制造,0.9635839532746956,0.9635839532746956,True
5.纺织业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9632395975234677,0.9632395975234677,True
5.纺织业,23.专用设备制造业,消费与轻工制造,装备制造,0.9619635525996167,0.9619635525996167,True
17.橡胶和塑料制品业,26.电气机械和器材制造业,传统高耗能与材料行业,装备制造,0.9617495135668025,0.9617495135668025,True
5.纺织业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9617093403601771,0.9617093403601771,False
2.食品制造业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9615947759031113,0.9615947759031113,True
11.印刷和记录媒介复制业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9597170016910868,0.9597170016910868,True
6.纺织服装、服饰业,23.专用设备制造业,消费与轻工制造,装备制造,0.9589343382223129,0.9589343382223129,True
5.纺织业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9585476154960949,0.9585476154960949,True
17.橡胶和塑料制品业,23.专用设备制造业,传统高耗能与材料行业,装备制造,0.9585412351849832,0.9585412351849832,True
2.食品制造业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9585291290609207,0.9585291290609207,True
11.印刷和记录媒介复制业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9585280349752994,0.9585280349752994,True
9.家具制造业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9584203106497818,0.9584203106497818,True
6.纺织服装、服饰业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9580906200533503,0.9580906200533503,True
11.印刷和记录媒介复制业,23.专用设备制造业,消费与轻工制造,装备制造,0.957705253464109,0.957705253464109,True
2.食品制造业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9572811900922968,0.9572811900922968,False
21.金属制品业,26.电气机械和器材制造业,装备制造,装备制造,0.9572168027405351,0.9572168027405351,False
6.纺织服装、服饰业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9569884232311199,0.9569884232311199,True
17.橡胶和塑料制品业,24.汽车制造业,传统高耗能与材料行业,装备制造,0.9564381995911568,0.9564381995911568,True
18.非金属矿物制品业,30.废弃资源综合利用业,传统高耗能与材料行业,其他制造,0.9554504691945855,0.9554504691945855,True
22.通用设备制造业,31.金属制品、机械和设备修理业,装备制造,其他制造,0.9554140884977482,0.9554140884977482,True
21.金属制品业,30.废弃资源综合利用业,装备制造,其他制造,0.955332095851481,0.955332095851481,True
11.印刷和记录媒介复制业,24.汽车制造业,消费与轻工制造,装备制造,0.9552408405377708,0.9552408405377708,True
21.金属制品业,23.专用设备制造业,装备制造,装备制造,0.9551013749598088,0.9551013749598088,False
17.橡胶和塑料制品业,31.金属制品、机械和设备修理业,传统高耗能与材料行业,其他制造,0.9540700025507217,0.9540700025507217,True
2.食品制造业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9522587835500548,0.9522587835500548,True
25.铁路、船舶、航空航天和其他运输设备制造业,31.金属制品、机械和设备修理业,装备制造,其他制造,0.9520411839802988,0.9520411839802988,True
23.专用设备制造业,27.计算机、通信和其他电子设备制造业,装备制造,先进制造与技术相关行业,0.951857901749206,0.951857901749206,True
18.非金属矿物制品业,24.汽车制造业,传统高耗能与材料行业,装备制造,0.9516730610614443,0.9516730610614443,True
22.通用设备制造业,26.电气机械和器材制造业,装备制造,装备制造,0.9510768211807288,0.9510768211807288,False
21.金属制品业,24.汽车制造业,装备制造,装备制造,0.9509150561246483,0.9509150561246483,False
18.非金属矿物制品业,25.铁路、船舶、航空航天和其他运输设备制造业,传统高耗能与材料行业,装备制造,0.9508775139258036,0.9508775139258036,True
22.通用设备制造业,30.废弃资源综合利用业,装备制造,其他制造,0.9501394321893083,0.9501394321893083,True
11.印刷和记录媒介复制业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.9488971590496694,0.9488971590496694,True
25.铁路、船舶、航空航天和其他运输设备制造业,29.其他制造业,装备制造,其他制造,0.948810282824878,0.948810282824878,True
12.文教、工美、体育和娱乐用品制造业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9485293425088498,0.9485293425088498,True
1.农副食品加工业,2.食品制造业,消费与轻工制造,消费与轻工制造,0.9479876386741001,0.9479876386741001,False
7.皮革、毛皮、羽毛及其制品和制鞋业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9474103835340449,0.9474103835340449,True
17.橡胶和塑料制品业,25.铁路、船舶、航空航天和其他运输设备制造业,传统高耗能与材料行业,装备制造,0.9472598172780786,0.9472598172780786,True
8.木材加工和木、竹、藤、棕、草制品业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.9461200552548186,0.9461200552548186,True
22.通用设备制造业,23.专用设备制造业,装备制造,装备制造,0.9456686364710145,0.9456686364710145,False
12.文教、工美、体育和娱乐用品制造业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.945297185111694,0.945297185111694,True
11.印刷和记录媒介复制业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.9448044479057484,0.9448044479057484,True
7.皮革、毛皮、羽毛及其制品和制鞋业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9441354236140979,0.9441354236140979,True
22.通用设备制造业,24.汽车制造业,装备制造,装备制造,0.9441179653408165,0.9441179653408165,False
12.文教、工美、体育和娱乐用品制造业,24.汽车制造业,消费与轻工制造,装备制造,0.9436583235834688,0.9436583235834688,True
7.皮革、毛皮、羽毛及其制品和制鞋业,23.专用设备制造业,消费与轻工制造,装备制造,0.9433408661404806,0.9433408661404806,True
9.家具制造业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9422291394927522,0.9422291394927522,True
8.木材加工和木、竹、藤、棕、草制品业,23.专用设备制造业,消费与轻工制造,装备制造,0.9417917894312299,0.9417917894312299,True
2.食品制造业,21.金属制品业,消费与轻工制造,装备制造,0.9417759038935578,0.9417759038935578,True
5.纺织业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9412050384331558,0.9412050384331558,True
8.木材加工和木、竹、藤、棕、草制品业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9409784519555304,0.9409784519555304,True
21.金属制品业,31.金属制品、机械和设备修理业,装备制造,其他制造,0.9397352556173459,0.9397352556173459,True
24.汽车制造业,31.金属制品、机械和设备修理业,装备制造,其他制造,0.9383336450438267,0.9383336450438267,True
7.皮革、毛皮、羽毛及其制品和制鞋业,24.汽车制造业,消费与轻工制造,装备制造,0.9372942128665294,0.9372942128665294,True
2.食品制造业,24.汽车制造业,消费与轻工制造,装备制造,0.9371131851496273,0.9371131851496273,True
2.食品制造业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.9364907140626184,0.9364907140626184,False
22.通用设备制造业,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,装备制造,0.9362310567041578,0.9362310567041578,False
2.食品制造业,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,消费与轻工制造,0.9360678335243477,0.9360678335243477,False
12.文教、工美、体育和娱乐用品制造业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.9359518151147057,0.9359518151147057,True
2.食品制造业,22.通用设备制造业,消费与轻工制造,装备制造,0.9359352383485268,0.9359352383485268,True
2.食品制造业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.9352184462067961,0.9352184462067961,True
6.纺织服装、服饰业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9345662872656709,0.9345662872656709,True
25.铁路、船舶、航空航天和其他运输设备制造业,30.废弃资源综合利用业,装备制造,其他制造,0.9340649774258304,0.9340649774258304,True
1.农副食品加工业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.9333057459501397,0.9333057459501397,True
6.纺织服装、服饰业,24.汽车制造业,消费与轻工制造,装备制造,0.931575050417429,0.931575050417429,True
18.非金属矿物制品业,26.电气机械和器材制造业,传统高耗能与材料行业,装备制造,0.9296688095162544,0.9296688095162544,True
17.橡胶和塑料制品业,28.仪器仪表制造业,传统高耗能与材料行业,先进制造与技术相关行业,0.9277268430028974,0.9277268430028974,True
2.食品制造业,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,消费与轻工制造,0.9275928820343402,0.9275928820343402,False
7.皮革、毛皮、羽毛及其制品和制鞋业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.9275872426630908,0.9275872426630908,True
9.家具制造业,24.汽车制造业,消费与轻工制造,装备制造,0.9275463323597201,0.9275463323597201,True
8.木材加工和木、竹、藤、棕、草制品业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.9275436474359356,0.9275436474359356,True
11.印刷和记录媒介复制业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.9261953863951315,0.9261953863951315,True
2.食品制造业,9.家具制造业,消费与轻工制造,消费与轻工制造,0.9255450368237842,0.9255450368237842,False
28.仪器仪表制造业,31.金属制品、机械和设备修理业,先进制造与技术相关行业,其他制造,0.9252823641385123,0.9252823641385123,True
2.食品制造业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.9252128692173794,0.9252128692173794,True
26.电气机械和器材制造业,27.计算机、通信和其他电子设备制造业,装备制造,先进制造与技术相关行业,0.9248202147131632,0.9248202147131632,True
5.纺织业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.924511065248652,0.924511065248652,False
29.其他制造业,31.金属制品、机械和设备修理业,其他制造,其他制造,0.9240978308618745,0.9240978308618745,False
2.食品制造业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.9239196866729645,0.9239196866729645,True
2.食品制造业,6.纺织服装、服饰业,消费与轻工制造,消费与轻工制造,0.9226362756018104,0.9226362756018104,False
21.金属制品业,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,装备制造,0.9224120110603079,0.9224120110603079,False
8.木材加工和木、竹、藤、棕、草制品业,24.汽车制造业,消费与轻工制造,装备制造,0.9218019852817821,0.9218019852817821,True
12.文教、工美、体育和娱乐用品制造业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.9214053469657184,0.9214053469657184,True
10.造纸和纸制品业,21.金属制品业,消费与轻工制造,装备制造,0.920708389798517,0.920708389798517,True
9.家具制造业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.9205113074663579,0.9205113074663579,False
18.非金属矿物制品业,29.其他制造业,传统高耗能与材料行业,其他制造,0.9190544727277793,0.9190544727277793,True
9.家具制造业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.9185929303972947,0.9185929303972947,True
5.纺织业,24.汽车制造业,消费与轻工制造,装备制造,0.9183654192611426,0.9183654192611426,True
23.专用设备制造业,28.仪器仪表制造业,装备制造,先进制造与技术相关行业,0.9168514418620112,0.9168514418620112,True
18.非金属矿物制品业,23.专用设备制造业,传统高耗能与材料行业,装备制造,0.9164640997706271,0.9164640997706271,True
18.非金属矿物制品业,28.仪器仪表制造业,传统高耗能与材料行业,先进制造与技术相关行业,0.9155303816706127,0.9155303816706127,True
6.纺织服装、服饰业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.9151671292393372,0.9151671292393372,True
24.汽车制造业,26.电气机械和器材制造业,装备制造,装备制造,0.9149483891301077,0.9149483891301077,False
22.通用设备制造业,28.仪器仪表制造业,装备制造,先进制造与技术相关行业,0.9146374246905997,0.9146374246905997,True
17.橡胶和塑料制品业,29.其他制造业,传统高耗能与材料行业,其他制造,0.9139154985307771,0.9139154985307771,True
11.印刷和记录媒介复制业,29.其他制造业,消费与轻工制造,其他制造,0.9137992694686178,0.9137992694686178,True
12.文教、工美、体育和娱乐用品制造业,29.其他制造业,消费与轻工制造,其他制造,0.9137555226868522,0.9137555226868522,True
10.造纸和纸制品业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9135898646452761,0.9135898646452761,True
26.电气机械和器材制造业,31.金属制品、机械和设备修理业,装备制造,其他制造,0.9135153277305227,0.9135153277305227,True
21.金属制品业,28.仪器仪表制造业,装备制造,先进制造与技术相关行业,0.9129720293414325,0.9129720293414325,True
22.通用设备制造业,29.其他制造业,装备制造,其他制造,0.9127377309088895,0.9127377309088895,True
6.纺织服装、服饰业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.9118995539019626,0.9118995539019626,False
7.皮革、毛皮、羽毛及其制品和制鞋业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.9118272130481437,0.9118272130481437,True
24.汽车制造业,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,装备制造,0.9106507551164208,0.9106507551164208,False
26.电气机械和器材制造业,30.废弃资源综合利用业,装备制造,其他制造,0.9102915366408754,0.9102915366408754,True
24.汽车制造业,28.仪器仪表制造业,装备制造,先进制造与技术相关行业,0.9096248058511345,0.9096248058511345,True
8.木材加工和木、竹、藤、棕、草制品业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.9094401118971605,0.9094401118971605,False
10.造纸和纸制品业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9092183701203504,0.9092183701203504,False
5.纺织业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.9082060279851866,0.9082060279851866,True
2.食品制造业,5.纺织业,消费与轻工制造,消费与轻工制造,0.9077873275001042,0.9077873275001042,False
23.专用设备制造业,30.废弃资源综合利用业,装备制造,其他制造,0.9030214721250883,0.9030214721250883,True
30.废弃资源综合利用业,31.金属制品、机械和设备修理业,其他制造,其他制造,0.9029692509757269,0.9029692509757269,False
26.电气机械和器材制造业,28.仪器仪表制造业,装备制造,先进制造与技术相关行业,0.9025167008907289,0.9025167008907289,True
5.纺织业,27.计算机、通信和其他电子设备制造业,消费与轻工制造,先进制造与技术相关行业,0.9020586727188901,0.9020586727188901,True
7.皮革、毛皮、羽毛及其制品和制鞋业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.9019922828835125,0.9019922828835125,False
8.木材加工和木、竹、藤、棕、草制品业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.9012578905816891,0.9012578905816891,True
23.专用设备制造业,24.汽车制造业,装备制造,装备制造,0.9012513807289203,0.9012513807289203,False
9.家具制造业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.9005786058737295,0.9005786058737295,True
9.家具制造业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.900364144612833,0.900364144612833,True
2.食品制造业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.8999899965245813,0.8999899965245813,False
2.食品制造业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.8998631390213657,0.8998631390213657,True
10.造纸和纸制品业,24.汽车制造业,消费与轻工制造,装备制造,0.8976177779932228,0.8976177779932228,True
21.金属制品业,29.其他制造业,装备制造,其他制造,0.8965268376090275,0.8965268376090275,True
1.农副食品加工业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.8954866067372584,0.8954866067372584,True
24.汽车制造业,29.其他制造业,装备制造,其他制造,0.8951543191633278,0.8951543191633278,True
28.仪器仪表制造业,29.其他制造业,先进制造与技术相关行业,其他制造,0.8949689604641191,0.8949689604641191,True
2.食品制造业,23.专用设备制造业,消费与轻工制造,装备制造,0.8948557742350909,0.8948557742350909,True
23.专用设备制造业,31.金属制品、机械和设备修理业,装备制造,其他制造,0.8946828405526406,0.8946828405526406,True
5.纺织业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.894568099171102,0.894568099171102,True
24.汽车制造业,30.废弃资源综合利用业,装备制造,其他制造,0.8935051953578765,0.8935051953578765,True
10.造纸和纸制品业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.8930917717387271,0.8930917717387271,False
8.木材加工和木、竹、藤、棕、草制品业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.8926923231848458,0.8926923231848458,True
6.纺织服装、服饰业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.8926437435180572,0.8926437435180572,True
9.家具制造业,27.计算机、通信和其他电子设备制造业,消费与轻工制造,先进制造与技术相关行业,0.8926166815835664,0.8926166815835664,True
10.造纸和纸制品业,26.电气机械和器材制造业,消费与轻工制造,装备制造,0.8912341748362077,0.8912341748362077,True
2.食品制造业,29.其他制造业,消费与轻工制造,其他制造,0.8910122267515732,0.8910122267515732,True
10.造纸和纸制品业,22.通用设备制造业,消费与轻工制造,装备制造,0.8907169611274006,0.8907169611274006,True
6.纺织服装、服饰业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.8885929891447604,0.8885929891447604,True
10.造纸和纸制品业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.8881315004140664,0.8881315004140664,True
12.文教、工美、体育和娱乐用品制造业,27.计算机、通信和其他电子设备制造业,消费与轻工制造,先进制造与技术相关行业,0.886450541561511,0.886450541561511,True
28.仪器仪表制造业,30.废弃资源综合利用业,先进制造与技术相关行业,其他制造,0.8863303879737661,0.8863303879737661,True
1.农副食品加工业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.8862900090533434,0.8862900090533434,True
1.农副食品加工业,31.金属制品、机械和设备修理业,消费与轻工制造,其他制造,0.8858222718959456,0.8858222718959456,True
7.皮革、毛皮、羽毛及其制品和制鞋业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.8847792539284227,0.8847792539284227,True
25.铁路、船舶、航空航天和其他运输设备制造业,26.电气机械和器材制造业,装备制造,装备制造,0.8842081012776929,0.8842081012776929,False
3.酒、饮料及精制茶制造业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.884128453595287,0.884128453595287,False
6.纺织服装、服饰业,27.计算机、通信和其他电子设备制造业,消费与轻工制造,先进制造与技术相关行业,0.8825106139198154,0.8825106139198154,True
1.农副食品加工业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.8817041427793502,0.8817041427793502,False
10.造纸和纸制品业,23.专用设备制造业,消费与轻工制造,装备制造,0.8811400214065018,0.8811400214065018,True
5.纺织业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.8801847857196415,0.8801847857196415,True
29.其他制造业,30.废弃资源综合利用业,其他制造,其他制造,0.875284002902028,0.875284002902028,False
1.农副食品加工业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.8733097199533878,0.8733097199533878,True
25.铁路、船舶、航空航天和其他运输设备制造业,28.仪器仪表制造业,装备制造,先进制造与技术相关行业,0.8731702395756556,0.8731702395756556,True
26.电气机械和器材制造业,29.其他制造业,装备制造,其他制造,0.872093805007567,0.872093805007567,True
23.专用设备制造业,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,装备制造,0.8718357846654089,0.8718357846654089,False
7.皮革、毛皮、羽毛及其制品和制鞋业,29.其他制造业,消费与轻工制造,其他制造,0.8710204713896958,0.8710204713896958,True
1.农副食品加工业,24.汽车制造业,消费与轻工制造,装备制造,0.8704817087323079,0.8704817087323079,True
1.农副食品加工业,10.造纸和纸制品业,消费与轻工制造,消费与轻工制造,0.8688708146377174,0.8688708146377174,False
10.造纸和纸制品业,28.仪器仪表制造业,消费与轻工制造,先进制造与技术相关行业,0.8681953946816564,0.8681953946816564,True
23.专用设备制造业,29.其他制造业,装备制造,其他制造,0.8668936562328828,0.8668936562328828,True
9.家具制造业,29.其他制造业,消费与轻工制造,其他制造,0.8653786021563565,0.8653786021563565,True
10.造纸和纸制品业,30.废弃资源综合利用业,消费与轻工制造,其他制造,0.8651967645401827,0.8651967645401827,True
1.农副食品加工业,25.铁路、船舶、航空航天和其他运输设备制造业,消费与轻工制造,装备制造,0.8648999460392754,0.8648999460392754,True
8.木材加工和木、竹、藤、棕、草制品业,29.其他制造业,消费与轻工制造,其他制造,0.864252798441333,0.864252798441333,True
8.木材加工和木、竹、藤、棕、草制品业,27.计算机、通信和其他电子设备制造业,消费与轻工制造,先进制造与技术相关行业,0.8619874291802966,0.8619874291802966,True
