date,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造,制造业
2022-01-01,,,,,,
2022-02-01,,,,,,
2022-03-01,,,,,,
2022-04-01,,,,,,
2022-05-01,,,,,,
2022-06-01,,,,,,
2022-07-01,,,,,,
2022-08-01,,,,,,
2022-09-01,,,,,,
2022-10-01,,,,,,
2022-11-01,,,,,,
2022-12-01,,,,,,
2023-01-01,-0.21079743492805736,-0.4338950021574156,-0.3822508715448538,-0.15635600981095266,-0.3790049193987993,-0.28762714692491786
2023-02-01,0.1391571329817849,0.3423768325511223,0.3992108928575109,0.12045619111305683,0.4496277965573863,0.22278802070777304
2023-03-01,0.00132928126465659,0.05570209587170738,0.07042294843283226,-0.0019050398164714988,0.09223526225487388,0.026236014285996756
2023-04-01,0.003816098773961496,0.06011584923669244,0.09284706662999476,-0.018539684643334664,0.018091791704930582,0.027547446721539304
2023-05-01,0.013659342143784059,0.06243523987834054,0.10395871664456857,0.036827400765188756,0.035364781003605295,0.039766858715827524
2023-06-01,0.10557936378423127,0.109079909540164,0.15729379132542576,0.09477314173023865,0.08914639357459753,0.11185334501958599
2023-07-01,0.07292684194802868,0.05786664057885593,0.1160294244881761,0.05912248906162465,0.00578022974376502,0.07127494125031575
2023-08-01,0.10042988094392147,0.06379897932834777,0.12409870640839626,0.08191090132655154,0.020415240066818496,0.08946049293302094
2023-09-01,0.11836545846182456,0.07618199523825209,0.10788904313156267,0.10778413460904535,0.030451714460479895,0.10182093715675822
2023-10-01,0.13675902867589218,0.10256928876127214,0.12887863117116805,0.10931266338481427,0.02485921329532692,0.12116240985903914
2023-11-01,0.17246222300359948,0.14172887379978794,0.1403180341076904,0.10265758487459498,0.009813292135534057,0.14992253987144855
2023-12-01,0.2398131187808279,0.19970366094067327,0.19181871802369277,0.14382574504115397,0.018398591335770265,0.2086069898146421
2024-01-01,0.6661050330308691,1.3629002527138154,1.3826393901067742,0.4825652729286809,1.048090302396433,0.8709697237679199
2024-02-01,-0.12143435107533751,-0.3995385817659052,-0.37265402663056535,-0.02041991219958994,-0.4817851455717289,-0.228599695839512
2024-03-01,0.050770158258915066,0.06443927146358264,0.1166015994912073,0.14304043096599228,-0.010041323671834634,0.06796526459665109
2024-04-01,0.10042145321928597,0.11005023155300009,0.19709496025960838,0.182427200983994,0.1069672473912251,0.12191273435771555
2024-05-01,0.11905650943565504,0.0662618536065438,0.15363841928300181,0.12420725461406401,0.057817119578390086,0.108375504039538
2024-06-01,0.0944014468338159,0.04877264060885489,0.10171499570989484,0.10466708538458813,0.0296000090996682,0.08217547320463692
2024-07-01,0.0648621374715006,0.10135529567838719,0.1333278546664718,0.14737365447278394,0.09777999549139937,0.09206916702054713
2024-08-01,0.043241022590789546,0.06738789768391151,0.10135565864685137,0.11440442391399097,0.0543333562199102,0.06398070037198544
2024-09-01,0.008366855856752231,0.0634110540288324,0.13648129189264013,0.12374169080111286,0.06566759772278563,0.05141606363507911
2024-10-01,0.008498232702299546,0.04849300691363112,0.12188409241584974,0.13817671563339373,0.04465756911231322,0.04481212328986439
2024-11-01,0.006291082511297841,0.03031230559358633,0.10295810983504139,0.12896712592132342,0.08882775679058441,0.03673982490960492
2024-12-01,0.04483855368194156,0.05105391073650534,0.14084616807391148,0.12579608267795916,0.14224051611815391,0.0678402048658382
2025-01-01,-0.09952108808344429,-0.2368912128524574,-0.14288476495858926,-0.02703149540276062,-0.2085630698669425,-0.1371400044470087
2025-02-01,0.21334924468694072,0.5219361365280937,0.7012806699095553,0.21829305188424586,0.7017222146192974,0.33763775737843793
2025-03-01,0.1210256177364959,0.01948183497874334,0.11676944730164229,0.11021772156529508,0.10243073604681197,0.09286193283467048
2025-04-01,0.08263339860176822,-0.015423601709915746,0.07625153909431348,0.06176474914410468,0.05027614272732661,0.0539371186538129
2025-05-01,0.04162463072479383,-0.011098556705783635,0.08125589788474419,0.091492470352736,0.20521140803697913,0.04221302095732149
2025-06-01,0.001569249871125722,0.028722706941702203,0.1329091604950634,0.1014033544508044,0.2495333368535717,0.04212299990067647
2025-07-01,0.03460843570941741,-0.02764222026788432,0.09262550350848153,0.06150248001047087,0.19579612238798494,0.03360889687113322
2025-08-01,0.07386813370181544,-0.012547429202542482,0.09782586519855552,0.06669845921466044,0.18434345810526875,0.05692400164373712
2025-09-01,0.13665656386938863,0.03570938803756385,0.1417733089661084,0.11212161203031168,0.09351262745088995,0.10682961001234847
2025-10-01,0.09727530382327165,0.029451935288272724,0.10880167696648124,0.11226458619854274,0.08876072029497228,0.0824092830318035
2025-11-01,0.0726184570450108,0.001414221394442583,0.08023419473162363,0.07062298014646462,0.01722825483545498,0.05437959747185506
2025-12-01,0.022462817185031625,-0.002428678688632502,0.08912492180835208,0.08329745707624658,0.030821444216972305,0.03088680794528753
