,制造业分组,2022用电量,2025用电量,变化量,增长贡献率,2022占制造业比重,2025占制造业比重
0,传统高耗能与材料行业,70299475139.665,86164003481.234,15864528341.569,0.47634713543660834,0.5012222771163548,0.496448985932437
1,消费与轻工制造,36247645303.9971,42049729303.6145,5802083999.617401,0.17421293802592736,0.25843901797674146,0.2422768746586789
2,装备制造,18156465139.9692,25308135336.7859,7151670196.8167,0.21473551173372482,0.12945224390024437,0.14581725101160883
3,先进制造与技术相关行业,11290617126.8468,14815781775.7425,3525164648.8957005,0.10584632875872761,0.0805000153290481,0.08536371966473891
4,其他制造,4261883959.1288,5222989609.6137,961105650.4849,0.028858086014496784,0.030386445681938306,0.030093168730177505
