date,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造
2023-01-01,-0.21079743492805758,-0.4338950021574156,-0.38225087154485393,-0.15635600981095266,-0.3790049193987993
2023-02-01,0.1391571329817849,0.34237683255112206,0.3992108928575109,0.12045619111305683,0.4496277965573863
2023-03-01,0.00132928126465659,0.05570209587170738,0.07042294843283226,-0.0019050398164714988,0.09223526225487366
2023-04-01,0.003816098773961496,0.06011584923669244,0.09284706662999476,-0.018539684643334664,0.018091791704930582
2023-05-01,0.013659342143784059,0.06243523987834032,0.10395871664456857,0.036827400765188534,0.03536478100360552
2023-06-01,0.1055793637842315,0.109079909540164,0.15729379132542576,0.09477314173023887,0.08914639357459753
2023-07-01,0.07292684194802868,0.05786664057885593,0.1160294244881761,0.05912248906162465,0.00578022974376502
2023-08-01,0.10042988094392169,0.06379897932834777,0.12409870640839626,0.08191090132655154,0.020415240066818496
2023-09-01,0.11836545846182478,0.07618199523825187,0.10788904313156267,0.10778413460904535,0.030451714460479895
2023-10-01,0.13675902867589218,0.10256928876127192,0.12887863117116805,0.10931266338481405,0.02485921329532692
2023-11-01,0.17246222300359926,0.14172887379978816,0.14031803410769061,0.10265758487459498,0.009813292135534057
2023-12-01,0.2398131187808279,0.19970366094067304,0.191818718023693,0.14382574504115397,0.018398591335770265
2024-01-01,0.6661050330308691,1.362900252713815,1.3826393901067746,0.4825652729286809,1.0480903023964325
2024-02-01,-0.12143435107533751,-0.3995385817659052,-0.37265402663056535,-0.02041991219958994,-0.481785145571729
2024-03-01,0.050770158258915066,0.06443927146358286,0.11660159949120752,0.14304043096599228,-0.010041323671834301
2024-04-01,0.10042145321928597,0.11005023155300009,0.19709496025960815,0.182427200983994,0.1069672473912251
2024-05-01,0.11905650943565482,0.06626185360654424,0.15363841928300181,0.12420725461406401,0.057817119578390086
2024-06-01,0.09440144683381568,0.04877264060885489,0.10171499570989484,0.10466708538458769,0.0296000090996682
2024-07-01,0.0648621374715006,0.10135529567838697,0.13332785466647157,0.14737365447278394,0.09777999549139937
2024-08-01,0.043241022590789546,0.06738789768391129,0.10135565864685159,0.1144044239139912,0.0543333562199102
2024-09-01,0.008366855856752009,0.0634110540288324,0.13648129189264013,0.12374169080111308,0.06566759772278563
2024-10-01,0.008498232702299768,0.04849300691363134,0.12188409241584974,0.13817671563339395,0.04465756911231322
2024-11-01,0.006291082511298063,0.03031230559358633,0.10295810983504139,0.12896712592132342,0.08882775679058419
2024-12-01,0.04483855368194156,0.05105391073650534,0.1408461680739117,0.12579608267795894,0.14224051611815391
2025-01-01,-0.09952108808344429,-0.2368912128524574,-0.14288476495858926,-0.02703149540276062,-0.2085630698669425
2025-02-01,0.21334924468694072,0.5219361365280937,0.7012806699095553,0.21829305188424608,0.7017222146192978
2025-03-01,0.12102561773649612,0.019481834978743118,0.11676944730164229,0.11021772156529508,0.10243073604681174
2025-04-01,0.082633398601768,-0.015423601709915857,0.07625153909431348,0.06176474914410468,0.050276142727326834
2025-05-01,0.041624630724794054,-0.011098556705783746,0.08125589788474419,0.09149247035273578,0.20521140803697913
2025-06-01,0.001569249871125722,0.028722706941702203,0.1329091604950634,0.10140335445080462,0.2495333368535717
2025-07-01,0.03460843570941763,-0.027642220267884543,0.09262550350848175,0.06150248001047087,0.19579612238798494
2025-08-01,0.07386813370181544,-0.012547429202542482,0.0978258651985553,0.06669845921466022,0.18434345810526875
2025-09-01,0.13665656386938907,0.03570938803756385,0.1417733089661084,0.11212161203031168,0.09351262745089017
2025-10-01,0.09727530382327143,0.029451935288272724,0.10880167696648102,0.11226458619854252,0.08876072029497228
2025-11-01,0.0726184570450108,0.001414221394442583,0.08023419473162363,0.07062298014646462,0.017228254835455203
2025-12-01,0.022462817185031625,-0.002428678688632502,0.08912492180835185,0.0832974570762468,0.030821444216972527
