date,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造,装备与先进制造合计,结构转型差值T,结构转型比值R
2022-01-01,0.5843564109345465,0.23058432014700686,0.09341173500334872,0.06676616054201717,0.024881373430209124,0.1601778955453659,-0.4241785153891806,0.27410993111070253
2022-01-02,0.5472130970850161,0.25185607817950045,0.10499770446783284,0.06818537040652063,0.02774774975086929,0.17318307487435347,-0.3740300222106626,0.3164819625058196
2022-01-03,0.5218983025456256,0.25609034721805635,0.11908623396187709,0.0725001533934598,0.030424962832441907,0.1915863873553369,-0.33031191519028874,0.36709524905685614
2022-01-04,0.5119616536286711,0.25833395424775063,0.12609501215383548,0.07285168348634316,0.030757696530713523,0.19894669564017864,-0.31301495798849244,0.38859686898440227
2022-01-05,0.505503040972243,0.2590918206315934,0.1288994713797762,0.07563087071932884,0.0308747963132683,0.204530342099105,-0.30097269887313793,0.4046075404526314
2022-01-06,0.5007853749804108,0.26261691120404046,0.13035140985835159,0.07453015425977245,0.031716149802031544,0.20488156411812403,-0.29590381086228673,0.40912050222340934
2022-01-07,0.5028328257240209,0.26159817842043426,0.12979318291680345,0.07419571600302569,0.03158009688767866,0.20398889891982913,-0.29884392680419175,0.40567935998631116
2022-01-08,0.5042370771089488,0.26193644159415064,0.128399297915677,0.07367281412554108,0.031754369254390825,0.20207211204121808,-0.3021649650677307,0.40074822184794834
2022-01-09,0.5128292823311167,0.2606590223388411,0.12308450335504695,0.07252243427533188,0.030904757648346593,0.19560693763037884,-0.31722234470073785,0.3814270057693039
2022-01-10,0.5016568636514245,0.2628958618521331,0.12890344635882206,0.07523757483299888,0.0313062532399802,0.20414102119182098,-0.2975158424596035,0.4069335754841143
2022-01-11,0.48467852501304204,0.27199925490837934,0.1333978766130961,0.07752890120251889,0.032395442351362255,0.210926777815615,-0.273751747197427,0.4351890313480244
2022-01-12,0.47377588061000275,0.2770172143962185,0.1346198746830264,0.08091936811762912,0.03366766217659672,0.2155392428006555,-0.25823663780934725,0.45493924790586915
2022-01-13,0.4738669377659856,0.2772888922756988,0.13423255404603288,0.08104721390506743,0.033564402084570504,0.2152797679511003,-0.2585871698148853,0.4543042588411476
2022-01-14,0.4790394016913157,0.27404575211878895,0.1321015881358949,0.08163930925125165,0.033173948805537534,0.21374089738714655,-0.2652985043041691,0.4461864653147619
2022-01-15,0.4854092304552196,0.27054087734381393,0.12766880038646145,0.0841479658560737,0.032233125832794585,0.21181676624253518,-0.27359246421268446,0.43636740497063103
2022-01-16,0.4985109016069688,0.26699289854288627,0.12183932273778623,0.08108601626311747,0.03157086075609829,0.20292533900090368,-0.29558556260606517,0.40706299169539956
2022-01-17,0.4910378437631258,0.26693754828277133,0.12672578667433185,0.08354636811739607,0.03175245304552821,0.21027215479172792,-0.28076568897139786,0.4282198560915035
2022-01-18,0.490594723289799,0.2635221153211171,0.12844745478500127,0.08618399346510526,0.031251713280871944,0.21463144825010655,-0.2759632750396924,0.43749237009897823
2022-01-19,0.4935923377688404,0.26210622067125994,0.1261046991404974,0.08766304247530864,0.030533699988313356,0.21376774161580603,-0.27982459615303434,0.43308561591958494
2022-01-20,0.5001744180394845,0.2575715559064771,0.12422482100985441,0.08826699362373246,0.029762211346941184,0.21249181463358685,-0.28768260340589763,0.42483543134109764
2022-01-21,0.5100731162206886,0.2512167091447574,0.12053870700286488,0.08956354580168283,0.028607921739180035,0.2101022528045477,-0.29997086341614093,0.4119061485954588
2022-01-22,0.5208232585141768,0.24456033422185192,0.11434408147032746,0.09352813418532283,0.026744191430986677,0.20787221565565026,-0.3129510428585265,0.39912237454347865
2022-01-23,0.5290995271811759,0.23710764204842147,0.1081872190519892,0.09943716910472829,0.026168442824094376,0.2076243881567175,-0.32147513902445846,0.39241083669617816
2022-01-24,0.5352511324627109,0.23270481170601978,0.11010450329552193,0.0963225437418089,0.025617008799116197,0.20642704703733086,-0.3288240854253801,0.38566391459566296
2022-01-25,0.5296961255833073,0.2326682251933096,0.11101854370860839,0.10206165483693615,0.024555450519374227,0.21308019854554455,-0.3166159270377627,0.40226875042912247
2022-01-26,0.5405979434604431,0.22138608184722372,0.10882392881342738,0.10651388396554887,0.022678161805416014,0.21533781277897623,-0.32526013068146686,0.39833265254501116
2022-01-27,0.5529592389642597,0.2099388838959947,0.10488242004341705,0.1114390746907158,0.020780382592288094,0.21632149473413284,-0.3366377442301268,0.39120694527018235
2022-01-28,0.5752886837636034,0.19769549713667336,0.09784366465315746,0.11009025711499111,0.019081897488319576,0.20793392176814854,-0.3673547619954549,0.3614427462883876
2022-01-29,0.5991609899548549,0.18124585723198963,0.09274252905769235,0.10975524578570424,0.01709537787398239,0.20249777484339662,-0.3966632151114583,0.33796889022874177
2022-01-30,0.6289952607999996,0.15482419253052043,0.09353969431537477,0.10687201193386121,0.01576884068056293,0.200411706249236,-0.4285835545507636,0.3186219654411045
2022-01-31,0.6564587309662562,0.14847267781057255,0.07421706899351868,0.10573387177408163,0.015117650688221969,0.1799509407676003,-0.47650779019865586,0.2741237678455834
2022-02-01,0.6594686096056367,0.15329792028154438,0.06790753801808959,0.10523358165338044,0.014092350716802945,0.17314111967147003,-0.48632748993416663,0.2625464156284993
2022-02-02,0.6516876233709435,0.15224349270120907,0.0719517379689574,0.10859760313726698,0.01551954284671187,0.18054934110622436,-0.4711382822647192,0.2770489029273076
2022-02-03,0.6374682772589577,0.15963151272865123,0.07893627342474731,0.10704649753023551,0.016917438843331842,0.1859827709549828,-0.4514855063039749,0.2917521978578886
2022-02-04,0.6284163060477268,0.16525387730031116,0.08370961095284099,0.10605549783730588,0.01656470772777102,0.18976510879014688,-0.43865119725757995,0.30197355950807336
2022-02-05,0.6258039071812339,0.1715345918945289,0.0884801017400758,0.09865961766150043,0.01552178129500609,0.18713971940157625,-0.43866418777965765,0.29903891179666325
2022-02-06,0.6226981607757773,0.1790930981370281,0.08822802776523252,0.09446453114867942,0.015516182090903347,0.18269255891391195,-0.4400056018618654,0.2933886277844593
2022-02-07,0.5976765472686736,0.1875038943899696,0.09217763885557788,0.10656722051829924,0.01607469899938069,0.19874485937387712,-0.3989316878947965,0.33252912512984273
2022-02-08,0.582649543853337,0.19673678928782032,0.10059195579939012,0.1021836444784699,0.017838066578368856,0.20277560027786,-0.379873943575477,0.3480232713078415
2022-02-09,0.5646294519636887,0.20505183185348644,0.10788394256903482,0.1034623594904496,0.018972414152697088,0.2113463020594844,-0.35328314990420434,0.37430973769514964
2022-02-10,0.5509162191995731,0.2214992462675702,0.112659124829986,0.09390596467985159,0.02101944519013476,0.20656508950983757,-0.3443511296897356,0.3749482812649013
2022-02-11,0.54101675051156,0.22713999848880878,0.11610873832301333,0.0936163806573021,0.022118132167370973,0.20972511898031543,-0.3312916315312445,0.3876499549820024
2022-02-12,0.5301636949774673,0.23349445916312658,0.11657541519127909,0.09693155745401806,0.022834873178628295,0.21350697264529717,-0.3166567223321701,0.40271896146033065
2022-02-13,0.5356619015075206,0.23725009326599916,0.11250979131817165,0.09195552829086841,0.022622685651427492,0.20446531960904007,-0.3311965818984805,0.38170592127909514
2022-02-14,0.5239905328432577,0.24062244523157392,0.11930478734111709,0.09196691824293515,0.024115316426409603,0.21127170558405226,-0.3127188272592054,0.40319756244002664
2022-02-15,0.5359702540965344,0.23373782796378303,0.11997378192031295,0.08715714478563467,0.02316099135559286,0.20713092670594763,-0.3288393273905868,0.38645974309731185
2022-02-16,0.5228706098685375,0.24605487327971376,0.12327712403003073,0.08271966215320942,0.02507773070216371,0.20599678618324013,-0.3168738236852974,0.3939727770031533
2022-02-17,0.5192304529073576,0.2470976734150142,0.12412456187298299,0.08432444122940908,0.025222870568655218,0.20844900310239206,-0.3107814498049655,0.4014575838824771
2022-02-18,0.5204198512865044,0.24820648608077428,0.12367115158014964,0.08161657326968057,0.02608593792855632,0.20528772484983024,-0.3151321264366741,0.39446559223739935
