date,第一产业,第二产业,第三产业,居民生活
2023-01-01,-0.013726431924463831,1.2089103586260355,0.04986302448110982,-0.24504695114162078
2023-02-01,0.02845995108604747,1.0268347601036951,0.15418616846873712,-0.2094808797308709
2023-03-01,0.046312946020268066,0.3481917661563277,0.4595546585704515,0.14594062910636132
2023-04-01,0.03848314601181586,0.4246311141191565,0.47122354589597876,0.06566219421219152
2023-05-01,0.045148587545155786,0.2651906324315833,0.4786178752056564,0.21104290503930706
2023-06-01,0.03030687872083912,0.40061468888774554,0.2908134010468725,0.27826503125953794
2023-07-01,0.047180884917592585,0.5868688368277557,0.23848630842219073,0.1274639700195849
2023-08-01,0.10397097976952961,2.2410218194479006,0.47177648519378496,-1.8167692822864956
2023-09-01,0.022951860456142885,0.5692668838699945,0.213874555242296,0.19390670062225818
2023-10-01,0.019510101998057226,0.6879131087927842,0.23940830553535175,0.0531684836469632
2023-11-01,0.01474431433539088,0.6926697776635399,0.21056733737727024,0.08201857091830772
2023-12-01,0.01950465763052916,0.8300564451723575,0.21622536377820217,-0.06578646627480622
2024-01-01,0.014506428238532557,0.8855358798490425,0.12719221195121302,-0.02723452003878836
2024-02-01,-0.050320407384474804,1.4581810590010433,-0.08408191378096151,-0.32377873796907025
2024-03-01,0.041981336025564,0.5192380164398325,0.21919137006781525,0.21958927737453837
2024-04-01,0.02336628382888498,0.6636214844046602,0.22737428682975333,0.08563794502311939
2024-05-01,0.008754223639437606,1.0085225560602655,0.057980042464791,-0.0752568223569085
2024-06-01,-0.016096100192726216,1.254960908026947,-0.04322598933596564,-0.19563881878916736
2024-07-01,0.0026540246802922315,0.487450537110643,0.22246826005506484,0.28742717773882726
2024-08-01,0.0006116111361279029,0.4968650392296149,0.19622473341961588,0.30629861591444124
2024-09-01,0.005823470761207099,0.4074277940295398,0.24077818629318812,0.3459705489115655
2024-10-01,0.01046478912170719,0.5112806900507001,0.27883340118029254,0.19942112013217497
2024-11-01,0.00924649417294725,0.6255695391366449,0.20516072463742105,0.16002324215070302
2024-12-01,0.004305895349150966,0.748447762268932,0.11538215874616556,0.1318641833436578
2025-01-01,0.013661591904116087,1.288139471505613,0.02368378852203316,-0.32548485203278504
2025-02-01,-0.0038872934487209814,0.8784018924608474,0.09271798026768331,0.032767420340520145
2025-03-01,-0.0049089700397956775,0.850942444612162,0.08845390192841734,0.0655126233838803
2025-04-01,0.008711815803866773,0.6968165176992367,0.08737270564892696,0.20709896060182595
2025-05-01,0.017974599462576176,0.346822089183318,0.28839660838329445,0.3468067026075461
2025-06-01,0.025408624462135872,0.28521031720188866,0.2857263832044156,0.40365467507783476
2025-07-01,-0.1032927443026452,-2.2607526959813016,0.3749344042794374,2.989111026368467
2025-08-01,0.019774364640762685,0.497811962349258,0.20487588555044234,0.27753778743518814
2025-09-01,0.01569966691916244,0.5556708912351135,0.198102269676922,0.23052717201195594
2025-10-01,0.01722121283798789,0.3458348526005576,0.2309206319423057,0.40602330278820864
2025-11-01,0.016811694620655956,0.6260914782546094,0.1845848898501064,0.17251193621892488
2025-12-01,0.055385678007744646,0.7116398634412536,0.42801467690725753,-0.19504021861671936
2026-01-01,0.02319618889432372,0.5450608419268614,0.18225762467089154,0.24948534451230503
