date,第一产业,第二产业,第三产业,居民生活,制造业
2022-01-01,0.020449527892368542,0.5759646608565109,0.17280477248500736,0.2307810387741454,0.5244760888401455
2022-02-01,0.019563872919720254,0.5411508633782632,0.1754567531333613,0.2638285105849407,0.4899065955227109
2022-03-01,0.018418663965775454,0.6526109638010791,0.14815184356512087,0.1808185286848581,0.5997285679079327
2022-04-01,0.018590612372420996,0.6516160329618428,0.1525202960957816,0.177273058557008,0.5991724576474546
2022-05-01,0.018095062046630892,0.6466708426068408,0.16335562403098874,0.1718784713212321,0.5946248632486286
2022-06-01,0.01794514646964958,0.583834322621939,0.19286183339363622,0.2053586975264231,0.5315369542005933
2022-07-01,0.017688189939244443,0.5227708266525386,0.19967632434092009,0.25986465906729694,0.47594427811547957
2022-08-01,0.017900354210805138,0.5246971896309154,0.19688676098597188,0.2605156951723076,0.47264849074459075
2022-09-01,0.01891757441430853,0.5683127562356368,0.20390653709460949,0.2088631322554452,0.513735230029607
2022-10-01,0.019656667241384384,0.62085899079777,0.18109020148125357,0.17839414047959204,0.5621782476924542
2022-11-01,0.020443517477082177,0.6413114867648756,0.16702669126497682,0.17121830448658346,0.5874688151714373
2022-12-01,0.020494565360860712,0.600831076959146,0.16220818820198246,0.21646616946936503,0.5442553715965441
2023-01-01,0.024994211703845,0.4917961961926429,0.18915343905947896,0.2940561530476733,0.42330646533663213
2023-02-01,0.02049317981496815,0.5918866354453552,0.17323477389428382,0.21438541085241486,0.5364734332592273
2023-03-01,0.019809941286956977,0.6374275106120695,0.1636836171889279,0.17907893092072802,0.5847657320175981
2023-04-01,0.019612248066361096,0.639958599108543,0.16888817671234516,0.1715409761127508,0.5840582879109558
2023-05-01,0.020276987381148727,0.61590363870789,0.18878220634066362,0.17503716759341192,0.5684063147761425
2023-06-01,0.01948505859028311,0.5610104878233678,0.20506374840031005,0.21444070518564684,0.5173708418532078
2023-07-01,0.019191348313852996,0.5260377190427171,0.20165435831282447,0.2531165743401426,0.4838807056558124
2023-08-01,0.01905747096193014,0.5477711241659287,0.2005823249780794,0.23258907992262604,0.5080092139587655
2023-09-01,0.019204398464649185,0.5683805914733444,0.2046152293661393,0.20779978070942462,0.5258004080976004
2023-10-01,0.019645044768078223,0.6261763135052121,0.1857147672531109,0.1684638744714701,0.5803115217900948
2023-11-01,0.019816621572114668,0.6469607506093203,0.17181603673465523,0.16140659111053587,0.6012357812689132
2023-12-01,0.020379341374399524,0.6275126149593734,0.168495717955065,0.1836123257391735,0.5812248379769642
2024-01-01,0.021868159826469807,0.6091566166630071,0.17068490269363065,0.19829032081944747,0.5559272060146702
2024-02-01,0.02707078679846162,0.5114198143804543,0.19713595033172626,0.2643734485094292,0.45227541310675484
2024-03-01,0.021438126613014908,0.628748110764916,0.1677599015086726,0.1820538611146668,0.5786478198021301
2024-04-01,0.0199654490051315,0.6421849373294091,0.17439088108312334,0.16345873259046684,0.5936116314227614
2024-05-01,0.019566304401899368,0.6401189735136879,0.18071479529247325,0.15959992680176074,0.5911510111798723
2024-06-01,0.01832495136912622,0.5836364202308154,0.19696837636806053,0.2010702520221334,0.5416312104347721
2024-07-01,0.01777610273079996,0.5227354713512584,0.20343558864727992,0.25605283724385275,0.48320865063360524
2024-08-01,0.017771650680570128,0.5442225730507246,0.20027856686343093,0.2377272094109211,0.5028340976889014
2024-09-01,0.018143722642298354,0.5556222278851114,0.2074817850285967,0.21875226445611973,0.5090130177980794
2024-10-01,0.01914219065381026,0.6198828355029603,0.19081539734327682,0.17015957652449987,0.5731051556395496
2024-11-01,0.019313697011802317,0.6459429610200207,0.17340257035614895,0.16134077164203664,0.593667395279183
2024-12-01,0.01931101560063314,0.6355506010030686,0.1649655114175122,0.1801728719855216,0.5794032373152255
2025-01-01,0.02234395582960742,0.5697909120725281,0.17920765462127958,0.22865747748514517,0.5074984027738538
2025-02-01,0.02227139629447037,0.5683125637567437,0.18094816963053056,0.22846787027635534,0.5111913110449325
2025-03-01,0.019720226988619565,0.6432357625805569,0.1625889428756771,0.17445506754881368,0.5911492027050785
2025-04-01,0.019389948435992982,0.6449787466737761,0.1699408507158507,0.1656904541695076,0.5936352172372417
2025-05-01,0.019453052196248675,0.6192504580996344,0.1883765186054554,0.17291997108193707,0.5722684617747451
2025-06-01,0.018920585088951825,0.5585431321151358,0.2044316318122474,0.21810465097011245,0.516984626752339
2025-07-01,0.01860556437855272,0.5418055850786829,0.20226062338009937,0.23732822720169033,0.5028705620823092
2025-08-01,0.017875277912512505,0.5418211302009999,0.20051644776872316,0.23978714412185917,0.5039580118392166
2025-09-01,0.01789870243792553,0.5556271064579893,0.206541474729355,0.21993271636991663,0.5069099302809387
2025-10-01,0.01885781202072143,0.579313189077776,0.19675251525324924,0.205076483694194,0.5285009886705784
2025-11-01,0.019199004500487855,0.6450329633238804,0.17391517110729973,0.1618528610485713,0.5972570245307111
2025-12-01,0.020115777361073506,0.6372480175471051,0.17083367193175072,0.17180253316084548,0.5839744686769045
2026-01-01,0.020971460797791816,0.6096179263208873,0.17429577204644384,0.1951148408501666,0.5583616698615108
