check,days,max_abs_error,mean_abs_error,max_relative_abs_error,mean_relative_abs_error
全社会总量闭合,1471,0.559999942779541,0.061985044759767224,5.450249235490212e-10,7.422359850720174e-11
制造业31类闭合,1471,128.07179993391037,0.6205698170482018,2.7303727505046e-07,1.3661239582505987e-09
