variable,month,month_label,daily_mean,seasonality_index
合计,1,1月,639033099.7634408,0.8133314483986023
合计,2,2月,625729492.3764706,0.7963992389888294
合计,3,3月,728160902.8709677,0.9267691486067214
合计,4,4月,734593026.5777777,0.9349556548967326
合计,5,5月,755966676.6129032,0.962159037236503
合计,6,6月,857489700.1777778,1.0913727944462492
合计,7,7月,929163680.0967742,1.1825960846351133
合计,8,8月,925766363.1505376,1.178272138483381
合计,9,9月,905967271.6333333,1.1530727805993757
合计,10,10月,796770729.344086,1.0140925275684922
合计,11,11月,752668556.3777778,0.9579613440202669
合计,12,12月,766790276.3978494,0.97593480893477
工业,1,1月,343023457.87096775,0.7716872703412593
工业,2,2月,333851699.8235294,0.7510539032363176
工业,3,3月,446359186.4086022,1.004157862232758
工业,4,4月,454722300.8888889,1.0229720536145952
工业,5,5月,453622313.0107527,1.0204974512991853
工业,6,6月,464293243.7222222,1.044503452066142
工业,7,7月,468272988.16129035,1.0534565369131719
工业,8,8月,479459514.6666667,1.078622454594467
工业,9,9月,484225410.2,1.0893441146747318
工业,10,10月,463616882.75268817,1.0429818676427776
工业,11,11月,468487932.56666666,1.053940089444796
工业,12,12月,467699742.0752688,1.0521669262547597
制造业,1,1月,308161910.58064514,0.7480504275429481
制造业,2,2月,301322694.8117647,0.7314485111337149
制造业,3,3月,413610568.2580645,1.00402272895682
制造业,4,4月,422434800.3888889,1.0254431913551862
制造业,5,5月,422554946.50537634,1.0257348411364222
制造业,6,6月,434064707.5222222,1.0536743150102237
制造业,7,7月,437729009.46236557,1.0625692580218564
制造业,8,8月,449368692.5268817,1.0908241123497961
制造业,9,9月,448318661.35555553,1.0882752046500614
制造业,10,10月,430377582.3655914,1.0447239695745238
制造业,11,11月,436543466.7222222,1.0596914015341299
制造业,12,12月,432454717.1827957,1.0497661293441927
大工业电量,1,1月,323241978.61290324,0.7879591715173755
大工业电量,2,2月,316960061.7294118,0.7726458943115561
大工业电量,3,3月,412728802.50537634,1.0060990428255996
大工业电量,4,4月,420915183.01111114,1.0260547850491353
大工业电量,5,5月,420870608.1505376,1.0259461259870954
大工业电量,6,6月,427985238.35555553,1.0432892883636378
大工业电量,7,7月,431346272.0645161,1.0514823991350766
大工业电量,8,8月,437855998.76344085,1.0673510028309843
大工业电量,9,9月,440449084.7,1.0736721058480259
大工业电量,10,10月,424462899.94623655,1.034702969016377
大工业电量,11,11月,431060575.43333334,1.0507859633510297
大工业电量,12,12月,429386697.4408602,1.0467055913590313
居民生活,1,1月,170379845.7419355,0.9176644383336725
居民生活,2,2月,167260915.07058823,0.9008659035641396
居民生活,3,3月,152892234.6344086,0.8234763097149098
居民生活,4,4月,145959701.73333332,0.7861377449146417
居民生活,5,5月,154253712.7419355,0.8308092195283135
居民生活,6,6月,215022443.32222223,1.1581090992375227
居民生活,7,7月,260098835.65591398,1.4008901750911698
居民生活,8,8月,247261661.12903225,1.3317492593877651
居民生活,9,9月,232749034.75555557,1.2535843739121995
居民生活,10,10月,173374527.73118278,0.9337937707302576
居民生活,11,11月,145606399.24444443,0.7842348606350117
居民生活,12,12月,161451913.11827958,0.8695786671505168
商业用电,1,1月,64781894.22580645,0.7537786002636702
商业用电,2,2月,64731838.729411766,0.753196172681723
商业用电,3,3月,66797615.838709675,0.7772328050851486
商业用电,4,4月,71175197.85555555,0.8281687600249013
商业用电,5,5月,81441841.64516129,0.9476276995576064
商业用电,6,6月,102748127.04444444,1.195539900598066
商业用电,7,7月,118256982.4516129,1.3759953111755818
商业用电,8,8月,116767835.33333333,1.3586681359853834
商业用电,9,9月,109723457.26666667,1.2767023104676594
商业用电,10,10月,89168124.86021505,1.0375279257964976
商业用电,11,11月,73370555.58888888,0.8537131455215947
商业用电,12,12月,70953618.38709678,0.8255905417807752
非普工业,1,1月,42433850.58064516,0.736817321846354
非普工业,2,2月,38989343.75294118,0.6770072348252166
非普工业,3,3月,57625479.989247315,1.0006033215179013
非普工业,4,4月,58457157.44444445,1.0150444892835684
非普工业,5,5月,57621758.68817204,1.0005387052020462
非普工业,6,6月,62799301.844444446,1.0904410692332898
非普工业,7,7月,66719419.7311828,1.1585096211819077
非普工业,8,8月,67096117.02150538,1.1650505568925327
非普工业,9,9月,65423380.822222225,1.1360053255584375
非普工业,10,10月,58906072.52688172,1.0228394078274143
非普工业,11,11月,56403021.177777775,0.9793766636678758
非普工业,12,12月,57424108.06451613,0.9971067186820711
电子,1,1月,26271260.602150537,0.8026155850945482
电子,2,2月,26352102.788235296,0.8050854018067097
电子,3,3月,30454261.774193548,0.9304108205038325
电子,4,4月,31959392.933333334,0.9763942144578374
电子,5,5月,32679236.612903226,0.9983862218001613
电子,6,6月,35081073.07777778,1.0717649381377743
电子,7,7月,36325901.15053763,1.109795789686576
电子,8,8月,36786393.39784946,1.123864328692178
电子,9,9月,36598755.88888889,1.1181317987111938
电子,10,10月,33881225.65591398,1.035108294396645
电子,11,11月,33311813.166666668,1.0177121235337987
电子,12,12月,32728760.129032258,0.9998992190817074
纺织业,1,1月,24141905.505376343,0.6926665114447121
纺织业,2,2月,26084324.29411765,0.7483973420480576
纺织业,3,3月,36236901.6344086,1.0396896067330421
纺织业,4,4月,36516056.733333334,1.047698974033446
纺织业,5,5月,36286685.87096774,1.0411179891552447
纺织业,6,6月,37161327.95555556,1.066212747369722
纺织业,7,7月,37551729.376344085,1.077413934042432
纺织业,8,8月,37371713.23655914,1.0722490082033838
纺织业,9,9月,37264707.91111111,1.0691788692092772
纺织业,10,10月,36587577.989247315,1.0497510232727674
纺织业,11,11月,36557636.21111111,1.0488919499488563
纺织业,12,12月,35988831.51612903,1.0325721129053855
非金属矿物制品业,1,1月,27587051.956989247,0.71815785494951
非金属矿物制品业,2,2月,21981815.647058822,0.5722399623417468
非金属矿物制品业,3,3月,42299812.55913979,1.1011666886190008
非金属矿物制品业,4,4月,42853425.07777778,1.1155785648672538
非金属矿物制品业,5,5月,41784166.86021505,1.0877431807490376
非金属矿物制品业,6,6月,41154218.4,1.0713440948437323
非金属矿物制品业,7,7月,39562879.89247312,1.0299176948483344
非金属矿物制品业,8,8月,38885565.07526882,1.012285547817643
非金属矿物制品业,9,9月,39347054.266666666,1.0242992304791096
非金属矿物制品业,10,10月,40261616.376344085,1.0481074998051705
非金属矿物制品业,11,11月,42108894.733333334,1.0961966346796908
非金属矿物制品业,12,12月,42104537.68817204,1.09608321022927
黑色金属冶炼,1,1月,35811071.817204304,0.7523483717080197
黑色金属冶炼,2,2月,35809558.64705882,0.7523165817883859
黑色金属冶炼,3,3月,49819539.03225806,1.0466497417750174
黑色金属冶炼,4,4月,50653926.47777778,1.064179237658712
黑色金属冶炼,5,5月,51926571.88172043,1.0909160162255562
黑色金属冶炼,6,6月,49583197.58888889,1.0416844868674418
黑色金属冶炼,7,7月,45036557.96774194,0.9461649522058253
