model,mae,rmse,mape,smape,n
direct_category_weather_holiday,28769442.944079813,37387665.83489618,0.03398311239994818,0.03411169996790324,3030
direct_own_weather_holiday,43765282.9204489,53974095.849572696,0.05118247754663971,0.05307194354863706,3030
direct_own_calendar,52979202.89047771,74267184.03391886,0.06135057995731009,0.06369722300637318,3030
