group,target,horizon,model,mae,rmse,mape,smape,n
city,宁德,26,direct_context_weather_holiday_segment,6392717.455257251,7520051.480811897,0.06183027473410361,0.06334512485988723,101
city,宁德,27,direct_context_weather_holiday_segment,6465974.253807616,7501032.2191753965,0.06226067300618215,0.06425611801728567,101
city,宁德,28,direct_context_weather_holiday_segment,6151895.008951118,7303540.179217356,0.05911759973617957,0.06109861311552562,101
city,宁德,29,direct_context_weather_holiday_segment,6272225.006220036,7441124.890990897,0.06032920556977398,0.062356578075989426,101
city,宁德,30,direct_context_weather_holiday_segment,6307207.2975828815,7475692.458324284,0.06065027159030646,0.06262168366286691,101
city,莆田,1,direct_context_weather_holiday,2436853.147837349,3042087.3862228077,0.0600537589090441,0.05818272443668137,101
city,莆田,2,direct_context_weather_holiday,2666179.3721215795,3373677.3315168745,0.06587479465881284,0.06351806975059858,101
city,莆田,3,direct_context_weather_holiday,2906209.78560547,3698981.799565567,0.07120100072505707,0.06850053143114118,101
city,莆田,4,direct_context_weather_holiday,2942549.486304311,3729378.536447187,0.07193075629218204,0.06910929221501383,101
city,莆田,5,direct_context_weather_holiday,3017778.1531969877,3824961.371220445,0.07281939720758632,0.07041352349985178,101
city,莆田,6,direct_context_weather_holiday,3185529.7899513757,3953194.2843242697,0.07616881392006185,0.07405515167566487,101
city,莆田,7,direct_context_weather_holiday,3243485.041452022,3984603.6032793173,0.07832410202042553,0.07554341498381877,101
city,莆田,8,direct_context_weather_holiday,3435755.1858256324,4181145.2570331693,0.0827855924076698,0.07985818456503631,101
city,莆田,9,direct_context_weather_holiday,3470060.795460436,4290963.294523058,0.0838370162769711,0.08051933871288029,101
city,莆田,10,direct_context_weather_holiday,3341435.1778018936,4173599.2023320165,0.0807018115574092,0.07752599487809632,101
city,莆田,11,direct_context_weather_holiday,3208608.690112451,3962624.7776665716,0.07720555266069279,0.07448889942950099,101
city,莆田,12,direct_context_weather_holiday,3228374.3502817876,4043586.561540409,0.07685417501705326,0.07448937316917631,101
city,莆田,13,direct_context_weather_holiday,3170586.4841070506,3910588.3301029373,0.07534099580398904,0.07330141069370925,101
city,莆田,14,direct_context_weather_holiday,3215996.1639369265,3960543.0933061508,0.0762689788452896,0.0743787658491802,101
city,莆田,15,direct_context_weather_holiday,3283686.5497735096,4088017.229604085,0.07794950898444493,0.07577056583162793,101
city,莆田,16,direct_context_weather_holiday,3353134.9892805857,4189633.6005621897,0.07951882265287545,0.07724485894889026,101
city,莆田,17,direct_context_weather_holiday,3396635.294625172,4260580.925250234,0.08074536187672336,0.07825004018173413,101
city,莆田,18,direct_context_weather_holiday,3301474.32212226,4166440.62692556,0.07833450523272191,0.07606191790629145,101
city,莆田,19,direct_context_weather_holiday,3226847.0050529754,3962106.9628619547,0.07636196381739115,0.07450001340003527,101
city,莆田,20,direct_context_weather_holiday,3013654.1607483854,3684668.4361461513,0.0705835366040526,0.06953834192639279,101
city,莆田,21,direct_context_weather_holiday,2864372.592467688,3530723.5687680314,0.06670447291439023,0.06605388529581425,101
city,莆田,22,direct_context_weather_holiday,2929700.7691093767,3585025.9726690934,0.0682453485623999,0.06752475475382705,101
city,莆田,23,direct_context_weather_holiday,2903609.2546428554,3551391.9232693072,0.06703856994847492,0.06678859840655213,101
city,莆田,24,direct_context_weather_holiday,2835677.1444638777,3618591.7051120717,0.065283897550847,0.06534974271700139,101
city,莆田,25,direct_context_weather_holiday,2715343.0559280342,3489644.8352340045,0.06288771436760646,0.06285952397600494,101
city,莆田,26,direct_context_weather_holiday,2735346.7792685004,3465795.5314666494,0.06382385926988658,0.063138219562199,101
city,莆田,27,direct_context_weather_holiday,2758790.579668623,3418597.0857699015,0.06394056631982091,0.06393938703581485,101
city,莆田,28,direct_context_weather_holiday,2803165.3989701895,3447268.2239919044,0.0651901374264829,0.06505095092781153,101
city,莆田,29,direct_context_weather_holiday,2870643.8363514063,3569182.1142404308,0.06668691761377059,0.066316574072006,101
city,莆田,30,direct_context_weather_holiday,2774890.9898427795,3540670.1364885382,0.06350862200910683,0.06367655718130098,101
city,莆田,1,direct_context_weather_holiday_segment,2357912.041135813,2944012.2712404765,0.057428522775952576,0.05598300845165588,101
city,莆田,2,direct_context_weather_holiday_segment,2558682.9858994633,3242290.7917941404,0.06243806302227593,0.06063452681649327,101
city,莆田,3,direct_context_weather_holiday_segment,2829094.2253821404,3577732.6497528874,0.06819828512214153,0.0662719241908108,101
city,莆田,4,direct_context_weather_holiday_segment,2808335.62938224,3546322.5804895503,0.06733993409170977,0.06544707408652793,101
city,莆田,5,direct_context_weather_holiday_segment,2872730.512755409,3589914.1856118552,0.06794121675807023,0.06656997812355789,101
city,莆田,6,direct_context_weather_holiday_segment,3066562.33279187,3762992.2284364565,0.07235877129678715,0.07126762006154289,101
city,莆田,7,direct_context_weather_holiday_segment,3046386.5091275526,3725868.7722227857,0.07240108760493466,0.07078076132938659,101
city,莆田,8,direct_context_weather_holiday_segment,3231996.489008369,3902512.7613423,0.0765555690159608,0.07485010321703438,101
city,莆田,9,direct_context_weather_holiday_segment,3276058.0923482645,4008285.538371652,0.07791302292801605,0.07578373380986035,101
city,莆田,10,direct_context_weather_holiday_segment,3148016.3593929657,3868846.22340247,0.07482563353834143,0.0727928333929904,101
city,莆田,11,direct_context_weather_holiday_segment,3019578.874340859,3706754.1743019256,0.07133203422019142,0.06977075919548217,101
city,莆田,12,direct_context_weather_holiday_segment,3054582.8820684315,3749213.692390957,0.07171789587648109,0.0705320151146007,101
city,莆田,13,direct_context_weather_holiday_segment,3027160.50738944,3659864.8272038843,0.07079418692420236,0.07005132436910792,101
city,莆田,14,direct_context_weather_holiday_segment,3030316.7625797186,3668349.224437614,0.07060770547335893,0.0699856293802491,101
city,莆田,15,direct_context_weather_holiday_segment,3134295.1383910635,3767405.4592031324,0.07358232332615616,0.0725995322142536,101
city,莆田,16,direct_context_weather_holiday_segment,3186419.013449934,3865726.9423641195,0.07474864131065562,0.07376959343279565,101
city,莆田,17,direct_context_weather_holiday_segment,3173707.003931804,3906548.0551760215,0.07450354144775712,0.07338333962785476,101
city,莆田,18,direct_context_weather_holiday_segment,3096310.731628151,3822223.047014711,0.0724039433865383,0.07159471940397456,101
city,莆田,19,direct_context_weather_holiday_segment,3083245.5098552564,3718239.20766854,0.07180405704872846,0.07136697330149248,101
city,莆田,20,direct_context_weather_holiday_segment,2911855.19437442,3601318.596995889,0.0669572073733806,0.06718997163298111,101
city,莆田,21,direct_context_weather_holiday_segment,2750746.6866672942,3458100.4290799247,0.06293613077092014,0.06342098020851082,101
city,莆田,22,direct_context_weather_holiday_segment,2729836.036426549,3421349.5919500557,0.06251533814194257,0.06286407981100288,101
city,莆田,23,direct_context_weather_holiday_segment,2734233.8006083216,3426413.575671436,0.06226891690838232,0.0630966126669255,101
city,莆田,24,direct_context_weather_holiday_segment,2760955.362101531,3577057.6854465,0.06267947204822581,0.06397453663527967,101
city,莆田,25,direct_context_weather_holiday_segment,2763486.559692919,3529676.9151609545,0.06320301742732055,0.06428609882403387,101
city,莆田,26,direct_context_weather_holiday_segment,2774281.1170280515,3485800.6685356675,0.0638996622032486,0.06426493527852398,101
city,莆田,27,direct_context_weather_holiday_segment,2860943.151167472,3556372.311994375,0.06560269881596645,0.06649099561630001,101
city,莆田,28,direct_context_weather_holiday_segment,2822479.117974729,3466652.437542029,0.06506837647614008,0.06556107201160187,101
city,莆田,29,direct_context_weather_holiday_segment,2826726.5199443824,3463370.7883379734,0.06504488117529643,0.06535467406867534,101
city,莆田,30,direct_context_weather_holiday_segment,2761968.105177371,3482624.608962121,0.06255445246068028,0.06363214194147825,101
key_variable,居民生活,1,direct_context_weather_holiday,6148232.698365628,8940376.014338689,0.03325784395054661,0.03297657469985836,101
key_variable,居民生活,2,direct_context_weather_holiday,7892418.493531691,11008119.877598183,0.04278356607272635,0.04224759137158139,101
key_variable,居民生活,3,direct_context_weather_holiday,9580880.355860982,13179509.62434449,0.05200198346207491,0.051178990451102656,101
key_variable,居民生活,4,direct_context_weather_holiday,10756324.482421422,14695686.202996364,0.058285887064405434,0.057292918588511925,101
key_variable,居民生活,5,direct_context_weather_holiday,11971720.948667957,15978396.168236094,0.0650530168720591,0.06385933082837769,101
key_variable,居民生活,6,direct_context_weather_holiday,12884556.256362313,17125692.977580573,0.06994163197155084,0.06853299750743158,101
key_variable,居民生活,7,direct_context_weather_holiday,13340723.797939308,17603223.013667032,0.07292447913222981,0.07118611494495074,101
key_variable,居民生活,8,direct_context_weather_holiday,14054115.999276167,18462097.420277055,0.07681328249671276,0.07489781268550214,101
key_variable,居民生活,9,direct_context_weather_holiday,14047050.209233018,18821977.681097332,0.07602603483079791,0.0743629730758776,101
key_variable,居民生活,10,direct_context_weather_holiday,14014258.982406856,18626142.109127305,0.07609692318660095,0.07434577233581281,101
key_variable,居民生活,11,direct_context_weather_holiday,14226204.81114913,18981034.94953819,0.07700214526582179,0.07535669871630751,101
key_variable,居民生活,12,direct_context_weather_holiday,14228527.49344648,18930137.086809285,0.07711301579036178,0.0755318400624022,101
key_variable,居民生活,13,direct_context_weather_holiday,14341192.720334312,18742551.8834214,0.07841083178241277,0.07665884706447243,101
key_variable,居民生活,14,direct_context_weather_holiday,14626342.669117795,18768507.06456068,0.0808797238463262,0.07864559301301792,101
key_variable,居民生活,15,direct_context_weather_holiday,15378121.887441583,19300728.588081155,0.08567535327742659,0.08296246613859319,101
key_variable,居民生活,16,direct_context_weather_holiday,15625343.149250776,19251709.167018726,0.08703746366309252,0.08431945714275285,101
key_variable,居民生活,17,direct_context_weather_holiday,15758081.129102532,19027432.35616298,0.08786010885715631,0.08510888987103568,101
key_variable,居民生活,18,direct_context_weather_holiday,15798463.835738702,18680313.67628863,0.08804208199365941,0.0853146196477738,101
key_variable,居民生活,19,direct_context_weather_holiday,15712283.04261039,18241794.112660278,0.08759014915564459,0.084927850706953,101
key_variable,居民生活,20,direct_context_weather_holiday,15387433.288221069,17617464.588011626,0.08607768815233054,0.08346429905655695,101
key_variable,居民生活,21,direct_context_weather_holiday,15024892.194815002,17214364.90773279,0.0840977612821625,0.08162375066225334,101
key_variable,居民生活,22,direct_context_weather_holiday,14505291.315806944,16808638.764895633,0.08070702381185815,0.07864310040632527,101
key_variable,居民生活,23,direct_context_weather_holiday,13690840.810802497,16136132.746879362,0.07533798797991482,0.0738796568348082,101
key_variable,居民生活,24,direct_context_weather_holiday,12924545.975500565,15373437.782445822,0.07067435903850112,0.06950570780304251,101
key_variable,居民生活,25,direct_context_weather_holiday,12199442.801049082,14737906.860392012,0.06654296525830965,0.06551782141774937,101
key_variable,居民生活,26,direct_context_weather_holiday,12057049.399245389,14430977.151532648,0.06659309219548812,0.06539934764996563,101
key_variable,居民生活,27,direct_context_weather_holiday,11730948.26661669,13955540.572487235,0.06504570682872222,0.06376733468713866,101
key_variable,居民生活,28,direct_context_weather_holiday,11852142.090397673,13912081.745329583,0.0661437932673967,0.06471262025674739,101
key_variable,居民生活,29,direct_context_weather_holiday,12472093.614379285,14397773.644158559,0.06986688337597861,0.06821947577926198,101
key_variable,居民生活,30,direct_context_weather_holiday,12532403.152144564,14663486.188162629,0.06983716612618573,0.06816921808082214,101
key_variable,居民生活,1,direct_context_weather_holiday_segment,5489498.106822274,7806224.938980755,0.030459224700105123,0.03029644045507389,101
key_variable,居民生活,2,direct_context_weather_holiday_segment,7205449.601159406,10009981.095969973,0.03946110348036319,0.03920065122756878,101
key_variable,居民生活,3,direct_context_weather_holiday_segment,9001224.708932685,12283516.718524858,0.04891555976175923,0.04846421154951418,101
key_variable,居民生活,4,direct_context_weather_holiday_segment,10531573.211951202,14041247.997328041,0.056747416791734014,0.056133191018803916,101
key_variable,居民生活,5,direct_context_weather_holiday_segment,11483592.43989676,15302738.50189989,0.061787916027476006,0.06112675361745124,101
key_variable,居民生活,6,direct_context_weather_holiday_segment,12172193.808623923,16254765.40016844,0.06538161017359197,0.06461864493560081,101
key_variable,居民生活,7,direct_context_weather_holiday_segment,12407239.854089262,16491303.83766062,0.06715387207639527,0.0660608359496013,101
key_variable,居民生活,8,direct_context_weather_holiday_segment,12975933.450487332,17298479.07761524,0.0702175673982847,0.06895513752428335,101
key_variable,居民生活,9,direct_context_weather_holiday_segment,13139684.716591677,17768615.25285263,0.07058659223929448,0.069559076151535,101
key_variable,居民生活,10,direct_context_weather_holiday_segment,13191983.887890566,17727894.24846594,0.07111188724789966,0.06998442535955036,101
key_variable,居民生活,11,direct_context_weather_holiday_segment,13421263.094570702,17993674.201810982,0.07221103354986257,0.0711128360334002,101
key_variable,居民生活,12,direct_context_weather_holiday_segment,13326456.417265335,17763431.58997893,0.07182112030681646,0.07079382828348617,101
key_variable,居民生活,13,direct_context_weather_holiday_segment,13369689.220512817,17503801.82178064,0.07272154514661544,0.07153501937432981,101
key_variable,居民生活,14,direct_context_weather_holiday_segment,13462145.818698503,17556842.06377563,0.07405725624532125,0.07248654590472385,101
key_variable,居民生活,15,direct_context_weather_holiday_segment,14164225.45516505,18147567.293061923,0.07877883996284595,0.07672756520861766,101
key_variable,居民生活,16,direct_context_weather_holiday_segment,14376570.096120039,18259649.307340715,0.07987126617051538,0.0778087655573675,101
key_variable,居民生活,17,direct_context_weather_holiday_segment,14551860.191766005,18296036.963716593,0.08073558723068641,0.07857430091619792,101
key_variable,居民生活,18,direct_context_weather_holiday_segment,14512933.853145022,17986309.233261578,0.08020695980420776,0.07808281724419883,101
key_variable,居民生活,19,direct_context_weather_holiday_segment,14433759.253902769,17524821.121038742,0.07948456399721053,0.07755536313816835,101
key_variable,居民生活,20,direct_context_weather_holiday_segment,14176765.35952223,16775463.54314424,0.07837538787351636,0.07652432106220422,101
key_variable,居民生活,21,direct_context_weather_holiday_segment,13846403.037549186,16387769.769938376,0.07661980213802222,0.07489704026900834,101
key_variable,居民生活,22,direct_context_weather_holiday_segment,13467814.759190017,16173248.843507363,0.07408298896861515,0.07272777866071484,101
key_variable,居民生活,23,direct_context_weather_holiday_segment,12827909.390692549,15797793.797950378,0.06962470508023307,0.0688593471384143,101
key_variable,居民生活,24,direct_context_weather_holiday_segment,12215259.259836813,15382961.794126105,0.06562311936735958,0.06512999020293145,101
key_variable,居民生活,25,direct_context_weather_holiday_segment,11786136.85186086,14940230.205928303,0.06315766170995778,0.06273602855881093,101
key_variable,居民生活,26,direct_context_weather_holiday_segment,11658327.497325817,14658310.051797235,0.06316846681801343,0.06257884728710529,101
key_variable,居民生活,27,direct_context_weather_holiday_segment,11003065.920249628,13938549.693549717,0.059477594117538925,0.058873365420080905,101
key_variable,居民生活,28,direct_context_weather_holiday_segment,10844031.13344667,13537719.727977535,0.058976489569575595,0.05823419204482751,101
key_variable,居民生活,29,direct_context_weather_holiday_segment,11487194.113627769,13962553.851445101,0.06295938395942192,0.06201001291888847,101
key_variable,居民生活,30,direct_context_weather_holiday_segment,11557864.997543462,14153795.094395626,0.06314284995093658,0.06216122716035826,101
