cause,effect,windows_tested,pass_count,min_q,median_q,median_lag,stability_score
合计,石化,4,0,0.05859731454373186,0.5098669457825502,3.0,0.0
化学制品制造业,大工业电量,4,0,0.059341141649628754,0.1968288772505189,2.5,0.0
石化,化学制品制造业,4,0,0.059341141649628754,0.42316262464815535,3.5,0.0
合计,工业,4,0,0.05980337698493187,0.22065642231225494,1.0,0.0
农业,大工业电量,4,0,0.060797472588607154,0.2554098102125118,1.5,0.0
纺织业,化学制品制造业,4,0,0.06405861231091478,0.46577611939229757,3.0,0.0
工业,批发和零售业,4,0,0.06455099391765702,0.30245800895851876,1.5,0.0
商业用电,大工业电量,4,0,0.07304077806036918,0.30153083612582887,1.0,0.0
制造业,合计,4,0,0.07314752106780666,0.2596819323344246,1.0,0.0
住宿和餐饮业,工业,4,0,0.07742504590506843,0.2929877035438079,2.5,0.0
黑色金属冶炼,批发和零售业,4,0,0.0824123632135829,0.29988605161628423,1.0,0.0
石化,合计,4,0,0.08300821937243301,0.3131121589778285,1.0,0.0
大工业电量,黑色金属冶炼,4,0,0.08653100465463742,0.2809961674407126,1.0,0.0
大工业电量,批发和零售业,4,0,0.09068647839663278,0.3001784525636425,1.5,0.0
交通仓储和邮政业,合计,4,0,0.09897963013456033,0.38333079760115496,1.0,0.0
批发和零售业,大工业电量,4,0,0.09897963013456033,0.31932666255496805,1.5,0.0
纺织业,黑色金属冶炼,4,0,0.10962052077088671,0.5257839815750048,3.0,0.0
居民生活,住宿和餐饮业,4,0,0.11012015135125157,0.44774739843501277,1.0,0.0
住宿和餐饮业,大工业电量,4,0,0.11018946887800754,0.3304571056421976,2.5,0.0
住宿和餐饮业,电子,4,0,0.11422784247790269,0.4061317291221427,4.0,0.0
居民生活,制造业,4,0,0.11604956426224307,0.2601486631362703,1.0,0.0
化学制品制造业,电子,4,0,0.11614983841848404,0.3971749121220013,3.0,0.0
大工业电量,化学制品制造业,4,0,0.11649849593338794,0.534047191529724,4.0,0.0
工业,合计,4,0,0.12472045909821869,0.30504823227991384,1.0,0.0
工业,黑色金属冶炼,4,0,0.12472045909821869,0.3079309156822645,2.0,0.0
农业,合计,4,0,0.1298393629901194,0.3426876880540476,1.5,0.0
非金属矿物制品业,制造业,4,0,0.1323339840115343,0.2885469152983223,2.0,0.0
工业,化学制品制造业,4,0,0.13474280518735274,0.5462312924475634,4.0,0.0
非金属矿物制品业,化学制品制造业,4,0,0.13544208439626593,0.45555442311526917,3.5,0.0
