cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05,window_start,window_end
信息传输,大工业电量,1,4.554545608495982,0.035252111664981545,104,0.14382861559312468,False,2023-01-01,2024-12-31
批发和零售业,大工业电量,3,1.4315414229015342,0.23843761897973736,102,0.4677045603064079,False,2023-01-01,2024-12-31
住宿和餐饮业,大工业电量,3,2.1424204822705004,0.09999129182375599,102,0.275651669351976,False,2023-01-01,2024-12-31
黑色金属冶炼,大工业电量,2,2.40411486178979,0.09565585097144635,103,0.27102491108576465,False,2023-01-01,2024-12-31
非金属矿物制品业,大工业电量,2,1.4448852397575607,0.24075102309888852,103,0.4692344781417827,False,2023-01-01,2024-12-31
化学制品制造业,大工业电量,1,3.957665210872779,0.04936246294290891,104,0.177289610911746,False,2023-01-01,2024-12-31
纺织业,大工业电量,1,9.474885741028862,0.0026820537837565217,104,0.021597590995513043,True,2023-01-01,2024-12-31
电子,大工业电量,1,15.867623987812161,0.00012832933141038172,104,0.004688663962370221,True,2023-01-01,2024-12-31
石化,大工业电量,1,4.371500646020123,0.03905479728235528,104,0.15321497395385533,False,2023-01-01,2024-12-31
合计,非普工业,1,12.210346487973272,0.0007071145999468786,104,0.009974907713883261,True,2023-01-01,2024-12-31
大工业电量,非普工业,1,5.3242761649489,0.023070724214779847,104,0.11205780332893069,False,2023-01-01,2024-12-31
