model,mae,rmse,mape,smape,n,mase
ridge_recursive,48752331.23057263,64434677.82964684,0.05494225820872721,0.05713892110886676,180,1.046770594739747
rolling28,57457765.97913475,79086113.06983604,0.067472393837959,0.06617685892864068,180,1.2336866432487446
seasonal_week,54316564.03333333,85392543.03016122,0.0620324038743801,0.06324110052785023,180,1.1662412976415129
rolling7,57133722.96665929,89064572.0154727,0.06552811035209406,0.06666594535806439,180,1.2267290539739677
naive_yesterday,76548333.71111111,117842181.16175897,0.08812094976874088,0.09292494407954235,180,1.6435838611727291
