model,is_public_holiday,mae,rmse,mape,smape,n
direct_category_weather_holiday,0,26362568.223869015,32615894.565641686,0.031760451850920704,0.03162911901773664,2700
direct_category_weather_holiday_segment,0,26154183.25915624,33230765.221094508,0.031193220818781474,0.03124542232348175,2700
direct_category_weather_holiday,1,48462054.29125912,64272078.743581966,0.052168516891991194,0.05442372592381182,330
direct_category_weather_holiday_segment,1,23905426.183667578,30214690.33398801,0.026178077568485555,0.026458720560273794,330
