cause,effect,lag_weeks,controls,ordinary_stability_score,ordinary_min_q,f_stat,p_value,n,df2,q_value_fdr,pass_fdr_05
大工业电量,纺织业,2,合计;工业;制造业;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,2.935621665756117e-07,0.37967681736136144,0.6849151033979645,155,118,0.8826249132959494,False
石化,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0002767955138903,0.36868794073976985,0.6924487396119284,155,116,0.8826249132959494,False
批发和零售业,黑色金属冶炼,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0012476404771157,0.35128458785899613,0.704529508155796,155,116,0.8826249132959494,False
交通仓储和邮政业,黑色金属冶炼,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.25,0.0006721159331397,0.3402627422932224,0.7122911473961505,155,116,0.8826249132959494,False
大工业电量,电子,2,合计;工业;制造业;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,6.189367365183607e-06,0.32523427801080684,0.7230035543974053,155,118,0.8826249132959494,False
批发和零售业,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0001488089427156,0.31419458779324627,0.7309860149333223,155,118,0.8826249132959494,False
工业,非金属矿物制品业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0009773715863727,0.3090135795778875,0.7347630872764271,155,118,0.8826249132959494,False
居民生活,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0049761749648295,0.29027484718229457,0.7485905424716288,155,118,0.8826249132959494,False
制造业,电子,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,2.935621665756117e-07,0.2880748848316649,0.750231176301557,155,118,0.8826249132959494,False
农业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0006480847274366,0.24047830735082115,0.7866426905694871,155,116,0.8998888560903517,False
信息传输,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,6.242740333959618e-05,0.23155047710537113,0.7936684295809695,155,116,0.8998888560903517,False
信息传输,黑色金属冶炼,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.25,0.0007613272364922,0.21828219348918118,0.804227998195249,155,116,0.8998888560903517,False
大工业电量,非金属矿物制品业,2,合计;工业;制造业;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0023815137166832,0.2112217221738405,0.8098999704813165,155,118,0.8998888560903517,False
批发和零售业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0013304180779016,0.17590469933080688,0.8389212051979019,155,116,0.9193657043264678,False
制造业,纺织业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,1.3415791552673364e-07,0.14843354903982336,0.8622179954346778,155,118,0.9321275626320842,False
合计,非普工业,2,工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,7.39194943598509e-05,0.12504525638670608,0.882571799293743,155,120,0.9414099192466591,False
工业,制造业,2,合计;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0058231233204517,0.10040656849916924,0.904545519532169,155,120,0.9521531784549148,False
非普工业,纺织业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0010208563391614,0.03780677100962396,0.9629106417465746,155,118,0.9736945649360249,False
工业,纺织业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,2.27051655277144e-07,0.03253425313093538,0.9679979724562074,155,118,0.9736945649360249,False
非普工业,电子,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,1.0080352347241471e-05,0.029041891219520843,0.9713827123718206,155,118,0.9736945649360249,False
工业,电子,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,1.2858277255253151e-06,0.026663636061125175,0.973694564936025,155,118,0.9736945649360249,False
