model,holiday_name,mae,rmse,mape,smape,n
direct_category_weather_holiday,元旦,24316795.951932546,30765559.941533316,0.031529021096811966,0.03215170996483586,90
direct_category_weather_holiday_segment,元旦,12729303.270724995,15383064.375891317,0.017123138981576268,0.01705973910037809,90
direct_category_weather_holiday,国庆中秋,57516526.168506585,72972890.62614705,0.0599083278151834,0.06277573190842782,240
direct_category_weather_holiday_segment,国庆中秋,28096472.276021045,34154587.21568053,0.02957367953857654,0.029983338607734684,240
