model,mae,rmse,mape,smape,n
direct_category_weather_holiday_segment,25909269.12222183,32915695.01011984,0.030647017098452214,0.030724098369072965,3030
direct_category_weather_holiday,28769442.944079813,37387665.83489618,0.03398311239994818,0.03411169996790324,3030
