target,group,baseline_mape,segment_mape,mape_change_pp,baseline_rmse,segment_rmse,rmse_change_pct,n
宁德,city,0.060906661444730295,0.05704014081132365,-0.3866520633406645,7375897.983577879,6888660.885084521,-6.605800399872264,3030
居民生活,key_variable,0.07245733166628182,0.06689731239547253,-0.5560019270809291,16655732.097597478,15915922.290797621,-4.4417729732010525,3030
莆田,city,0.07220568504844134,0.06838748629899212,-0.381819874944922,3802712.7732811924,3623067.845909696,-4.724125593542761,3030
