city,value,share
三明,46435884122,0.05392465509647943
南平,41176551355,0.047817143398134865
厦门,115894894203,0.13458540341173067
宁德,100250954377,0.1164185465634628
泉州,183028328839,0.2125455279283052
漳州,98522005656,0.11441076819933227
福州,187988344390,0.21830545116263275
莆田,44958474014,0.05220898128050039
龙岩,42869850520,0.049783522959421636
